link	name	budget	domestic_total_gross	domestic_lifetime_gross	release_date	runtime	distributor	genre	rating	awards
http://www.boxofficemojo.com/movies/?id=briefhistoryoftime.htm	A Brief History of Time	N/A	2279692		21-Aug-92	1 hrs. 20 min.	Triton	Documentary	G	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=abrilliantyoungmind.htm	A Brilliant Young Mind	N/A	171793		11-Sep-15	1 hrs. 51 min.	Samuel Goldwyn	Comedy / Drama	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=bronxtale.htm	A Bronx Tale	N/A	17287898		1-Oct-93	2 hrs. 2 min.	Savoy	Crime Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=brotherskiss.htm	A Brother's Kiss	N/A	52632		25-Apr-97	1 hrs. 32 min.	First Look	Unknown	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=bugslife.htm	A Bug's Life	$120 million	162798565		20-Nov-98	1 hrs. 36 min.	Buena Vista	Animation	G	Nominated for One Oscar.
http://www.boxofficemojo.com/movies/?id=bulletforjoey.htm	A Bullet for Joey	N/A			15-Apr-55	1 hrs. 25 min.	United Artists	Crime Thriller	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=businessaffair.htm	A Business Affair	N/A	7556		3-Nov-95	1 hrs. 38 min.	Castle Hill	Unknown	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=acaseofyou.htm	A Case of You	N/A	4187		6-Nov-13	1 hrs. 31 min.	IFC	Romantic Comedy	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=acatinparis.htm	A Cat in Paris	N/A	309973		1-Jun-12	1 hrs. 10 min.	GKIDS	Animation	PG	Nominated for One Oscar.
http://www.boxofficemojo.com/movies/?id=changeofseasons.htm	A Change of Seasons	N/A			19-Dec-80	1 hrs. 42 min.	Fox	Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=achefinlove.htm	A Chef in Love	N/A	686704		23-Apr-97	1 hrs. 40 min.	Sony Classics	Foreign	PG-13	Nominated for One Oscar.
http://www.boxofficemojo.com/movies/?id=chorusline.htm	A Chorus Line	N/A	14202899		13-Dec-85	1 hrs. 58 min.	Columbia	Musical	PG-13	Nominated for Three Oscars.
http://www.boxofficemojo.com/movies/?id=chorusofdisapproval.htm	A Chorus of Disapproval	N/A	216373		18-Aug-89	1 hrs. 32 min.	South Gate Entertainment	Comedy	PG	No Academy Awards Information
