key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date
b602,w518,o2248,ace ventura: pet detective,1994,15000000.0,107200000.0,6.1466666666666665,4-Feb-94
b626,w607,,admission ,2013,13000000.0,18637201.0,0.4336308461538462,22-Mar-13
b657,w776,o975,after earth,2013,130.0,243800000.0,1875383.6153846157,31-May-13
b669,w802,o21944,after the sunset,2004,59000000.0,61347797.0,0.03979316949152542,12-Nov-04
b687,w848,o9620,agent cody banks,2003,28000000.0,58700000.0,1.0964285714285715,14-Mar-03
b709,w885,,air force one ,1997,85000000.0,315200000.0,2.708235294117647,25-Jul-97
b721,w910,o20198,akeelah and the bee,2006,68000000.0,18900000.0,-0.7220588235294118,28-Apr-06
b733,w947,,albino alligator,1997,6000000.0,339379.0,-0.9434368333333332,17-Jan-97
b734,w956,,alex cross ,2012,35000000.0,34600000.0,-0.011428571428571429,19-Oct-12
b765,w1051,,alien vs. predator ,2004,60000000.0,172500000.0,1.875,13-Aug-04
b770,w1055,o18556,aliens in the attic,2009,45000000.0,57900000.0,0.2866666666666667,31-Jul-09
b783,w1073,o16184,all about the benjamins,2002,15000000.0,26306533.0,0.7537688666666666,8-Mar-02
b813,w1145,,all the king's men (2006 film),2006,55000000.0,9500000.0,-0.8272727272727273,22-Sep-06
b828,w1193,,allied ,2016,85000000.0,119500000.0,0.4058823529411765,23-Nov-16
b829,w1210,,almost christmas ,2016,17000000.0,42500000.0,1.5,11-Nov-16
b830,w1211,o10569,almost famous,13-Sep,60000000.0,47400000.0,-0.21,15-Sep-00
b840,w1222,,aloha ,2015,52000000.0,26300000.0,-0.4942307692307693,29-May-15
b842,w1235,o983,alone yet not alone,2013,7000000.0,887851.0,-0.8731641428571428,27-Sep-13
b843,w1231,,alone in the dark (2005 film),2005,20000000.0,10400000.0,-0.48,28-Jan-05
b845,w1241,o21947,along came polly,2004,42000000.0,173000000.0,3.1190476190476186,16-Jan-04
b846,w1236,,along came a spider ,2001,60000000.0,105200000.0,0.7533333333333333,6-Apr-01
b857,w1272,,alvin and the chipmunks ,2007,60000000.0,361300000.0,5.0216666666666665,14-Dec-07
b858,w1276,o2437,alvin and the chipmunks: chipwrecked,2011,80000000.0,342700000.0,3.28375,16-Dec-11
b860,w1277,o18561,alvin and the chipmunks: the squeakquel,2009,70000000.0,443140005.0,5.3305715,23-Dec-09
b874,w1353,,amelia ,2009,40000000.0,19600000.0,-0.51,23-Oct-09
b883,w1367,o19959,america's sweethearts,2001,64400000.00000001,138200000.0,1.1459627329192543,20-Jul-01
b888,w1378,,american beauty (1999 film),1999,15000000.0,356300000.0,22.75333333333333,15-Sep-99
b896,w1402,o20203,american dreamz,21-Apr,17000000.0,16458459.0,-0.031855352941176474,21-Apr-06
b899,w1413,,american gangster ,2007,100000000.0,266500000.0,1.665,2-Nov-07
b909,w1440,o988,american hustle,2013,40000000.0,251200000.0,5.28,13-Dec-13
b923,w1468,o2022,american pie ,1999,11000000.0,235483004.0,20.40754581818182,9-Jul-99
b924,w1469,o19964,american pie 2,2001,30000000.0,287500000.0,8.583333333333334,10-Aug-01
