title	link	key_bom	year_bom	year_bom_format
barbershop: the next cut	http://www.boxofficemojo.com/movies/?id=barbershop3.htm	b1462	15-Apr-16	2016
barbie	http://www.boxofficemojo.com/movies/?id=barbie.htm	b1463	29-Jun-18	2018
barcelona	http://www.boxofficemojo.com/movies/?id=barcelona.htm	b1464	29-Jul-94	1994
barefoot	http://www.boxofficemojo.com/movies/?id=barefoot.htm	b1465	21-Feb-14	2014
barely legal	http://www.boxofficemojo.com/movies/?id=barelylegal.htm	b1466	21-Oct-05	2005
barely lethal	http://www.boxofficemojo.com/movies/?id=barelylethal.htm	b1467	30-Apr-15	2015
barfi!	http://www.boxofficemojo.com/movies/?id=barfi.htm	b1468	14-Sep-12	2012
barfly	http://www.boxofficemojo.com/movies/?id=barfly.htm	b1469	16-Oct-87	1987
barney thomson	http://www.boxofficemojo.com/movies/?id=thelegendofbarneythomson.htm	b1470	11-Mar-16	2016
barney's great adventure	http://www.boxofficemojo.com/movies/?id=barneysgreatadventure.htm	b1471	3-Apr-98	1998
barney's version (u.s. only)	http://www.boxofficemojo.com/movies/?id=barneysversion.htm	b1472	14-Jan-11	2011
barnyard: the original party animals	http://www.boxofficemojo.com/movies/?id=barnyard.htm	b1473	4-Aug-06	2006
barry munday	http://www.boxofficemojo.com/movies/?id=barrymunday.htm	b1474	1-Oct-10	2010
bart got a room	http://www.boxofficemojo.com/movies/?id=bartgotaroom.htm	b1475	3-Apr-09	2009
bartleby	http://www.boxofficemojo.com/movies/?id=bartleby.htm	b1476	24-May-02	2002
barton fink	http://www.boxofficemojo.com/movies/?id=bartonfink.htm	b1477	23-Aug-91	1991
basic	http://www.boxofficemojo.com/movies/?id=basic.htm	b1478	28-Mar-03	2003
basic instinct	http://www.boxofficemojo.com/movies/?id=basicinstinct.htm	b1479	20-Mar-92	1992
basic instinct 2	http://www.boxofficemojo.com/movies/?id=basicinstinct2.htm	b1480	31-Mar-06	2006
basquiat	http://www.boxofficemojo.com/movies/?id=basquiat.htm	b1481	9-Aug-96	1996
bastards	http://www.boxofficemojo.com/movies/?id=bastards.htm	b1482	23-Oct-13	2013
bastards (2016)	http://www.boxofficemojo.com/movies/?id=bastards2016.htm	b1483	22-Dec-17	2017
bataan	http://www.boxofficemojo.com/movies/?id=bataan.htm	b1484	3-Jun-43	1943
bathing beauty	http://www.boxofficemojo.com/movies/?id=bathingbeauty.htm	b1485	27-Jun-44	1944
batkid begins	http://www.boxofficemojo.com/movies/?id=batkidbegins.htm	b1486	26-Jun-15	2015
batman	http://www.boxofficemojo.com/movies/?id=batman.htm	b1487	23-Jun-89	1989
batman begins	http://www.boxofficemojo.com/movies/?id=batmanbegins.htm	b1488	15-Jun-05	2005
batman begins (2012 re-release)	http://www.boxofficemojo.com/movies/?id=batman2012.htm	b1489	19-Jul-12	2012
batman forever	http://www.boxofficemojo.com/movies/?id=batmanforever.htm	b1490	16-Jun-95	1995
batman returns	http://www.boxofficemojo.com/movies/?id=batmanreturns.htm	b1491	19-Jun-92	1992
batman and robin	http://www.boxofficemojo.com/movies/?id=batmanrobin.htm	b1492	20-Jun-97	1997
batman v superman: dawn of justice	http://www.boxofficemojo.com/movies/?id=superman2015.htm	b1493	25-Mar-16	2016
batman: mask of the phantasm	http://www.boxofficemojo.com/movies/?id=batmanmaskofthephantasm.htm	b1494	25-Dec-93	1993
batman: the killing joke	http://www.boxofficemojo.com/movies/?id=batmankillingjoke.htm	b1495	25-Jul-16	2016
bats	http://www.boxofficemojo.com/movies/?id=bats.htm	b1496	22-Oct-99	1999
battle beyond the stars	http://www.boxofficemojo.com/movies/?id=battlebeyondthestars.htm	b1497	1980	0
battle for brooklyn	http://www.boxofficemojo.com/movies/?id=battleforbrooklyn.htm	b1498	17-Jun-11	2011
battle for haditha	http://www.boxofficemojo.com/movies/?id=battleforhaditha.htm	b1499	7-May-08	2008
battle for terra	http://www.boxofficemojo.com/movies/?id=battleforterra.htm	b1500	1-May-09	2009
battle for the planet of the apes	http://www.boxofficemojo.com/movies/?id=battlefortheplanetoftheapes.htm	b1501	23-May-73	1973
battle in heaven	http://www.boxofficemojo.com/movies/?id=battleinheaven.htm	b1502	17-Feb-06	2006
battle in seattle	http://www.boxofficemojo.com/movies/?id=battleinseattle.htm	b1503	19-Sep-08	2008
battle of britain	http://www.boxofficemojo.com/movies/?id=battleofbritain.htm	b1504	24-Oct-69	1969
battle of the brides (co dau dai chien)	http://www.boxofficemojo.com/movies/?id=battleofthebrides.htm	b1505	6-May-11	2011
battle of the bulge	http://www.boxofficemojo.com/movies/?id=battleofthebulge.htm	b1506	16-Dec-65	1965
battle of the sexes	http://www.boxofficemojo.com/movies/?id=battleofthesexes.htm	b1507	22-Sep-17	2017
battle of the year	http://www.boxofficemojo.com/movies/?id=planetbboy3d.htm	b1508	20-Sep-13	2013
battle: los angeles	http://www.boxofficemojo.com/movies/?id=battlelosangeles.htm	b1509	11-Mar-11	2011
battlefield america	http://www.boxofficemojo.com/movies/?id=battlefieldamerica.htm	b1510	1-Jun-12	2012
battlefield earth	http://www.boxofficemojo.com/movies/?id=battlefieldearth.htm	b1511	12-May-00	2000
battleship	http://www.boxofficemojo.com/movies/?id=battleship.htm	b1512	18-May-12	2012
battleship potemkin (2011 re-issue)	http://www.boxofficemojo.com/movies/?id=battleshippotemkin2011.htm	b1513	14-Jan-11	2011
bay of angels (re-issue)	http://www.boxofficemojo.com/movies/?id=bayofangels01.htm	b1514	30-Nov-01	2001
baywatch	http://www.boxofficemojo.com/movies/?id=baywatch.htm	b1515	25-May-17	2017
be cool	http://www.boxofficemojo.com/movies/?id=becool.htm	b1516	4-Mar-05	2005
be here now: the andy whitfield story	http://www.boxofficemojo.com/movies/?id=beherenow.htm	b1517	8-Apr-16	2016
be here to love me: a film about townes van zandt	http://www.boxofficemojo.com/movies/?id=beheretoloveme.htm	b1518	2-Dec-05	2005
"be kind, rewind"	http://www.boxofficemojo.com/movies/?id=bekindrewind.htm	b1519	22-Feb-08	2008
be somebody	http://www.boxofficemojo.com/movies/?id=besomebody.htm	b1520	10-Jun-16	2016
be with me	http://www.boxofficemojo.com/movies/?id=bewithme.htm	b1521	29-Sep-06	2006
beach blanket bingo	http://www.boxofficemojo.com/movies/?id=beachblanketbingo.htm	b1522	14-Apr-65	1965
beach party	http://www.boxofficemojo.com/movies/?id=beachparty.htm	b1523	7-Aug-63	1963
beaches	http://www.boxofficemojo.com/movies/?id=beaches.htm	b1524	23-Dec-88	1988
bean	http://www.boxofficemojo.com/movies/?id=bean.htm	b1525	17-Oct-97	1997
bear cub	http://www.boxofficemojo.com/movies/?id=bearcub.htm	b1526	5-Nov-04	2004
bearcity	http://www.boxofficemojo.com/movies/?id=bearcity.htm	b1527	22-Oct-10	2010
bears	http://www.boxofficemojo.com/movies/?id=bears.htm	b1528	18-Apr-14	2014
beastly	http://www.boxofficemojo.com/movies/?id=beastly.htm	b1529	4-Mar-11	2011
beastmaster 2	http://www.boxofficemojo.com/movies/?id=beastmaster2.htm	b1530	30-Aug-91	1991
beasts of no nation	http://www.boxofficemojo.com/movies/?id=beastsofnonation.htm	b1531	16-Oct-15	2015
beasts of the southern wild	http://www.boxofficemojo.com/movies/?id=beastsofthesouthernwild.htm	b1532	27-Jun-12	2012
beat street	http://www.boxofficemojo.com/movies/?id=beatstreet.htm	b1533	8-Jun-84	1984
beat the drum	http://www.boxofficemojo.com/movies/?id=beatthedrum.htm	b1534		0
beatrice	http://www.boxofficemojo.com/movies/?id=beatrice.htm	b1535	18-Mar-88	1988
"beats, rhymes &amp; life: the travels of a tribe called quest"	http://www.boxofficemojo.com/movies/?id=beatsrhymesandlife.htm	b1536	8-Jul-11	2011
beaufort	http://www.boxofficemojo.com/movies/?id=beaufort.htm	b1537	18-Jan-08	2008
beautiful	http://www.boxofficemojo.com/movies/?id=beautiful.htm	b1538	29-Sep-00	2000
beautiful boxer	http://www.boxofficemojo.com/movies/?id=beautifulboxer.htm	b1539	21-Jan-05	2005
beautiful boy	http://www.boxofficemojo.com/movies/?id=beautifulboy.htm	b1540	3-Jun-11	2011
beautiful creatures	http://www.boxofficemojo.com/movies/?id=beautifulcreatures.htm	b1541	6-Apr-01	2001
beautiful creatures (2013)	http://www.boxofficemojo.com/movies/?id=beautifulcreatures13.htm	b1542	14-Feb-13	2013
beautiful darling	http://www.boxofficemojo.com/movies/?id=beautifuldarling.htm	b1543	22-Apr-11	2011
beautiful girl	http://www.boxofficemojo.com/movies/?id=beautifulgirl.htm	b1544	TBD	0
beautiful girls	http://www.boxofficemojo.com/movies/?id=beautifulgirls.htm	b1545	9-Feb-96	1996
beautiful losers	http://www.boxofficemojo.com/movies/?id=beautifullosers.htm	b1546	8-Aug-08	2008
beautiful people	http://www.boxofficemojo.com/movies/?id=beautifulpeople.htm	b1547	18-Feb-00	2000
beautiful thing	http://www.boxofficemojo.com/movies/?id=beautifulthing.htm	b1548	9-Oct-96	1996
beautopia	http://www.boxofficemojo.com/movies/?id=beautopia.htm	b1549	5-Mar-99	1999
beauty remains	http://www.boxofficemojo.com/movies/?id=beautyremains.htm	b1550	21-Sep-07	2007
beauty shop	http://www.boxofficemojo.com/movies/?id=beautyshop.htm	b1551	30-Mar-05	2005
beauty and the beast	http://www.boxofficemojo.com/movies/?id=beautyandthebeast.htm	b1552	15-Nov-91	1991
beauty and the beast (1946)	http://www.boxofficemojo.com/movies/?id=beautyandthebeast46.htm	b1553	23-Dec-47	1947
beauty and the beast (2002 re-issue)	http://www.boxofficemojo.com/movies/?id=beautybeast02.htm	b1554	21-Jun-02	2002
beauty and the beast (2016 re-issue)	http://www.boxofficemojo.com/movies/?id=beautyandthebeast16.htm	b1555	12-Feb-16	2016
beauty and the beast (2016)	http://www.boxofficemojo.com/movies/?id=beautybeast2016.htm	b1556	23-Sep-16	2016
beauty and the beast (2017)	http://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm	b1557	17-Mar-17	2017
beauty and the beast (3d)	http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm	b1558	13-Jan-12	2012
beauty and the beast (imax)	http://www.boxofficemojo.com/movies/?id=beautybeastimax.htm	b1559	1-Jan-02	2002
beauty and the beast: a latter-day tale	http://www.boxofficemojo.com/movies/?id=beautybeastlatterdaytale.htm	b1560	16-Mar-07	2007
beauty in trouble	http://www.boxofficemojo.com/movies/?id=beautyintrouble.htm	b1561	13-Jun-08	2008
beavis and butt-head do america	http://www.boxofficemojo.com/movies/?id=beavisandbuttheaddoamerica.htm	b1562	20-Dec-96	1996
bebe's kids	http://www.boxofficemojo.com/movies/?id=bebeskids.htm	b1563	31-Jul-92	1992
because i said so	http://www.boxofficemojo.com/movies/?id=becauseisaidso.htm	b1564	2-Feb-07	2007
because of winn-dixie	http://www.boxofficemojo.com/movies/?id=winndixie.htm	b1565	18-Feb-05	2005
becket (re-issue)	http://www.boxofficemojo.com/movies/?id=becket07.htm	b1566	26-Jan-07	2007
becoming colette	http://www.boxofficemojo.com/movies/?id=becomingcolette.htm	b1567	6-Nov-92	1992
becoming jane	http://www.boxofficemojo.com/movies/?id=becomingjane.htm	b1568	3-Aug-07	2007
becoming traviata	http://www.boxofficemojo.com/movies/?id=becomingtraviata.htm	b1569	15-May-13	2013
bed and breakfast	http://www.boxofficemojo.com/movies/?id=bedandbreakfast.htm	b1570	7-Aug-92	1992
bed of roses	http://www.boxofficemojo.com/movies/?id=bedofroses.htm	b1571	26-Jan-96	1996
bedazzled (1967)	http://www.boxofficemojo.com/movies/?id=bedazzled67.htm	b1572	10-Dec-67	1967
bedazzled (2000)	http://www.boxofficemojo.com/movies/?id=bedazzled.htm	b1573	20-Oct-00	2000
bedrooms and hallways	http://www.boxofficemojo.com/movies/?id=bedroomsandhallways.htm	b1574	3-Sep-99	1999
bedtime stories	http://www.boxofficemojo.com/movies/?id=bedtimestories.htm	b1575	25-Dec-08	2008
bee movie	http://www.boxofficemojo.com/movies/?id=beemovie.htm	b1576	2-Nov-07	2007
