index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer,bom_awards,bom_awards_scr,actor_clean,director_clean,writer_clean,distributor_clean,composer_clean,cinematographer_clean,producer_clean,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
566,,w2672,,bad words ,,10000000.0,7800000.0,-0.22,,,,,,,,,[Tatiana S. Riegel],"""[Darko Entertainment, Aggregate Films, MXN Entertainment]""",,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,b1398,w2688,,baggage claim ,2013,8500000.0,22456509.0,1.6419422352941178,2013-09-27 00:00:00,9.0,3.0,270.0,38.0,0.0,96.0,3.0,[Troy Takaki],"""[260 Degrees, Sneak Preview Productions]""","""['Terrence Jenkins', 'Paula Patton', 'Derek Luke', 'Taye Diggs', 'Boris Kodjoe', 'Adam Brody', 'Djimon Hounsou']""",,,Fox Searchlight,['Aaron Zigman'],[Anastas N. Michos],"""[David E. Talbert, Steven J. Wolfe]""",,0.0,"['Terrence Jenkins', 'Paula Patton', 'Derek Luke', 'Taye Diggs', 'Boris Kodjoe', 'Adam Brody', 'Djimon Hounsou']",[''],[''],['Fox Searchlight'],['Aaron Zigman'],['Anastas N. Michos'],"['David E. Talbert', 'Steven J. Wolfe']",15.24950437691653,0.0,0.0,531357.706580316,4.083648470367802,1.4732072498938968,3.196828519607843
568,,w2698,,bait (2000 film),,51000000.0,15471969.0,-0.6966280588235294,,,,,,,,,[Alan Edward Bell],[Castle Rock Entertainment],,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,b1413,w2727,o16195,ballistic: ecks vs. sever,20-Sep,70000000.0,19900000.0,-0.7157142857142857,2002-09-20 00:00:00,9.0,3.0,263.0,37.0,0.0,91.0,4.0,"""[Jay Cassidy, Caroline Ross]""",[Franchise Pictures],"""['Antonio Banderas', 'Lucy Liu']""",Wych Kaosayananda,,Warner Bros.,[Don Davis],[Julio Macat],"""[Chris Lee, Elie Samaha, Kaos]""",,0.0,"['Antonio Banderas', 'Lucy Liu']",['Wych Kaosayananda'],[''],['Warner Bros.'],['Don Davis'],['Julio Macat'],"['Chris Lee', 'Elie Samaha', 'Kaos']",214431.28703274782,-0.7157142857142857,0.0,34236.53809162237,584356.0446095556,7.5126945096893465,-2.0725900361377754
570,b1419,w2739,,balto ,1995,31000000.0,11300000.0,-0.6354838709677421,1995-12-22 00:00:00,12.0,4.0,356.0,51.0,1.0,77.0,7.0,[Renee Edwards],"""[Amblin Entertainment, (credit only), Amblimation]""",['Kevin Bacon'],['Simon Wells'],,Universal,['James Horner'],[Jan Richter-Friis],"""['Kathleen Kennedy', 'Steven Spielberg']""",,0.0,['Kevin Bacon'],['Simon Wells'],[''],['Universal'],['James Horner'],['Jan Richter-Friis'],"['Kathleen Kennedy', 'Steven Spielberg']",85.37758480794166,7.249124423963133,0.0,13067.921936655492,56824.0999107008,-0.6354838709677421,30.999706996206136
571,b1429,w2749,o10578,bamboozled,2000,10000000.0,2463650.0,-0.753635,2000-10-06 00:00:00,10.0,4.0,280.0,40.0,1.0,135.0,4.0,[Sam Pollard],[40 Acres and a Mule Filmworks],"""['Tracy Morgan*', 'Damon Wayans']""",['Spike Lee'],,New Line,['Terence Blanchard'],['Ellen Kuras'],['Jon Kilik'],,0.0,"['Tracy Morgan', 'Damon Wayans']",['Spike Lee'],[''],['New Line'],['Terence Blanchard'],['Ellen Kuras'],['Jon Kilik'],5.784822502730852,5.748836970092836,0.0,9.794903514281808,0.7890987337456925,7.470568877927219,8.206537345986858
572,b1430,w2750,,bananas ,1971,2000000.0,11800000.0,4.9,1971-04-28 00:00:00,4.0,2.0,118.0,17.0,0.0,82.0,2.0,"""[Ron Kalish, Ralph Rosenblum]""",,"""['Woody Allen', 'Danny DeVito*']""",['Woody Allen'],['Woody Allen'],United Artists,[Marvin Hamlisch],[Andrew M. Costikyan],[Jack Grossberg],,0.0,"['Woody Allen', 'Danny DeVito']",['Woody Allen'],['Woody Allen'],['United Artists'],['Marvin Hamlisch'],['Andrew M. Costikyan'],['Jack Grossberg'],194803.21372264955,277764.71792975476,286724.6904282568,227.45368100358,15.68318054295823,4.9,4.9
573,b1436,w2757,o8359,band of the hand,1986,8700000.0,4865912.0,-0.44069977011494255,1986-04-11 00:00:00,4.0,2.0,101.0,14.0,0.0,109.0,4.0,[Jack Hofstra],,"""['John Cameron Mitchell', 'Laurence Fishburne*']""",Paul Michael Glaser,,TriStar,[Michel Rubini],[Reynaldo Villalobos],['Michael Mann'],,0.0,"['John Cameron Mitchell', 'Laurence Fishburne']",['Paul Michael Glaser'],[''],['TriStar'],['Michel Rubini'],['Reynaldo Villalobos'],['Michael Mann'],291777.9366348978,-0.10526446351180382,0.0,49687.78064095513,-0.4336832183908046,2.126669543795175,182432.29941870447
574,,w2770,,bandits (2001 film),,75000000.0,67600000.0,-0.09866666666666668,,,,,,,,,[Stu Linder],"""[Hyde Park Entertainment, Empire Pictures, Cheyenne Enterprises]""",,,,,,,,,0.0,[''],[''],[''],[''],[''],[''],[''],0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,b1441,w2779,o5535,bandolero!,1968,4450000.0,12000000.0,1.6966292134831462,2068-06-01 00:00:00,6.0,2.0,153.0,22.0,0.0,106.0,2.0,[Folmar Blangsted],,"""['James Stewart', 'Dean Martin', 'Raquel Welch', 'George Kennedy', 'Andrew Prine', 'Will Geer', 'Clint Ritchie', 'Denver Pyle']""",['Andrew V. McLaglen'],"""['James Lee Barrett', 'Stanley Hough']""",Fox,['Jerry Goldsmith'],['William Clothier'],['Robert L. Jacks'],,0.0,"['James Stewart', 'Dean Martin', 'Raquel Welch', 'George Kennedy', 'Andrew Prine', 'Will Geer', 'Clint Ritchie', 'Denver Pyle']",['Andrew V. McLaglen'],"['James Lee Barrett', 'Stanley Hough']",['Fox'],['Jerry Goldsmith'],['William Clothier'],['Robert L. Jacks'],37.98518672319223,1.2365035788451366,3.003968604324281,32164.623051773695,5.614642326367411,1.1811913254373954,0.762560327349071
576,b1442,w2781,o18588,bandslam,2009,20000000.0,12225023.0,-0.38874885,2009-08-14 00:00:00,8.0,3.0,226.0,32.0,0.0,111.0,2.0,[John Gilbert],[Walden Media],"""['Alyson Michalka', 'Vanessa Hudgens', 'Lisa Kudrow', 'David Bowie']""",['Todd Graff'],"""['Josh A. Cagan', 'Todd Graff']""",Summit Entertainment,[],[Eric Steelberg],['Ron Schmidt'],,0.0,"['Alyson Michalka', 'Vanessa Hudgens', 'Lisa Kudrow', 'David Bowie']",['Todd Graff'],"['Josh A. Cagan', 'Todd Graff']",['Summit Entertainment'],[''],['Eric Steelberg'],['Ron Schmidt'],11.806835252552268,-0.071212165,1.7232243277450978,231354.95478722607,0.0,7120009.66287523,0.497407085745614
577,b1447,w2787,,bangkok dangerous (2008 film),2008,45000000.0,42500000.0,-0.05555555555555555,2008-09-05 00:00:00,9.0,3.0,249.0,35.0,1.0,100.0,4.0,"""[Mike Jackson, Curran Pang]""","""[Blue Star Entertainment, Saturn Films]""",['Nicolas Cage'],,,Lionsgate,['Brian Tyler'],[Decha Srimantra],['Nicolas Cage'],,0.0,['Nicolas Cage'],[''],[''],['Lionsgate'],['Brian Tyler'],['Decha Srimantra'],['Nicolas Cage'],96306.44513783103,0.0,0.0,9.634180705066298,2.2977310748501036,-0.05555555555555555,2.0929892990810357
