index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer
4677,b11991,w37174,o18405,syriana,2005,50000000.0,94000000.0,0.88,2005-11-23 00:00:00,11.0,4.0,327.0,47.0,1.0,128.0,4.0,[Tim Squyres],"""[Participant Media, Section Eight Productions]""","""['George Clooney', 'Matt Damon', 'Chris Cooper', 'Mark Strong', 'Jeffrey Wright', 'Amanda Peet']""",['Stephen Gaghan'],['Stephen Gaghan'],Warner Bros.,['Alexandre Desplat'],['Robert Elswit'],"""['Jennifer Fox', 'Jeff Skoll', 'Steven Soderbergh']"""
4678,,w37175,,syrup ,,25000000.0,663.0,-0.99997348,,,,,,,,,[Robert Hoffman],[Lila 9th Productions],,,,,,,
4679,,w37179,o4976,t-men,1947,424000.0,1600000.0,2.7735849056603774,2048-04-29 00:00:00,4.0,2.0,120.0,17.0,0.0,92.0,,[Fred Allen],"""[Edward Small Productions, Bryan Foy Productions, Reliance Pictures]""",,,,,,,
4680,b11993,w37180,o13626,t-rex: back to the cretaceous,1998,14500000.0,104000000.0,6.172413793103447,1998-10-23 00:00:00,10.0,4.0,296.0,42.0,0.0,45.0,6.0,[Jonathan P. Shaw],,Peter Horton|Liz Stauber|Kari Coleman|Charlene Sashuk,Brett Leonard,,IMAX,['William Ross'],[Andrew Kitzanuk],"""[Antoine Compin, Charis Horton]"""
4681,b12002,w37187,o5281,table 19,2017,5000000.0,3600000.0,-0.28,2017-03-03 00:00:00,3.0,1.0,62.0,9.0,0.0,87.0,3.0,[Yana Gorskaya],,"""['Anna Kendrick', 'Craig Robinson', 'June Squibb', 'Lisa Kudrow', 'Stephen Merchant', 'Tony Revolori', 'Amanda Crew']""",Jeffrey Blitz,,Fox Searchlight,[John Swihart],[Ben Richardson],"""[Shawn Levy, Tom McNulty, Mark Roberts]"""
4682,b12004,w37188,o22431,table for five,18-Feb,8000000.0,2439705.0,-0.695036875,1983-02-18 00:00:00,2.0,1.0,49.0,7.0,1.0,122.0,2.0,[Michael Kahn],[CBS Theatrical Films],"""['Kevin Costner*', 'Jon Voight']""",Robert Lieberman,['David Seltzer'],Warner Bros.,"""[Miles Goodman, and, John Morris]""",[Vilmos Zsigmond],[Robert Schaffel]
4683,b12007,w37194,,tadpole ,2002,150000.0,3200241.0,20.33494,2002-07-19 00:00:00,7.0,3.0,200.0,28.0,0.0,78.0,3.0,[Susan Littenberg],,['Sigourney Weaver'],['Gary Winick'],,Miramax,[Renaud Pion],[Hubert Taczanowski],['John Sloss']
4684,b12017,w37229,,take me home tonight ,2011,19000000.0,7400000.0,-0.6105263157894737,2011-03-04 00:00:00,3.0,1.0,63.0,9.0,0.0,97.0,4.0,[Lee Haxall],"""[Imagine Entertainment, Rogue]""","""['Topher Grace', 'Anna Faris', 'Dan Fogler', 'Teresa Palmer', 'Chris Pratt', 'Michael Biehn', 'Lucy Punch', 'Michelle Trachtenberg', 'Demetri Martin', 'Michael Ian Black']""",['Michael Dowse'],,Relativity,[Trevor Horn],[Terry Stacey],['Topher Grace']
4685,,w37230,,take me out to the ball game ,,2025000.0,4344000.0,1.145185185185185,,,,,,,,,[Blanche Sewell],[Metro-Goldwyn-Mayer],,,,,,,
4686,b12023,w37235,o2685,take shelter,2011,4750000.0,5000000.0,0.05263157894736842,2011-09-30 00:00:00,9.0,3.0,273.0,39.0,0.0,121.0,4.0,[Parke Gregg],"""[Hydraulx Entertainment, Rei Capital, Grove Hill Productions, Strange Matter Films]""","""['Michael Shannon', 'Jessica Chastain']""",['Jeff Nichols'],['Jeff Nichols'],Sony Classics,[David Wingo],[Adam Stone],[]
4687,,w37237,o14032,take the high ground!,1953,1166000.0,2855000.0,1.448542024013722,2053-10-30 00:00:00,10.0,4.0,303.0,43.0,0.0,101.0,,[John Dunning],,,,,,,,
4688,b12027,w37238,o20506,take the lead,7-Apr,30000000.0,65700000.0,1.19,2006-04-07 00:00:00,4.0,2.0,97.0,14.0,0.0,118.0,3.0,,,"""['Antonio Banderas', 'Alfre Woodard']""",Liz Friedlander,,New Line,['Aaron Zigman'],,"""[Christopher Godsick, Michelle Grace, Diane Nabatoff]"""
4689,b12028,w37239,o17645,take the money and run,1969,1530000.0,3040000.0,0.9869281045751634,1969-08-18 00:00:00,8.0,3.0,230.0,33.0,0.0,85.0,,"""[Paul Jordan, Ron Kalish]""","""[ABC Pictures, Palomar Pictures International]""",['Woody Allen'],['Woody Allen'],['Woody Allen'],Cinerama,[Marvin Hamlisch],[Lester Shorr],[Charles Joffe]
4690,b12025,w37241,,take this job and shove it ,1981,3800000.0,17569030.0,3.6234289473684216,1981-05-15 00:00:00,5.0,2.0,135.0,19.0,0.0,100.0,2.0,[Richard Belding],[Cinema Group Ventures],"""['Robert Hays', 'Barbara Hershey']""",['Gus Trikonis'],,Embassy,[Billy Sherrill],[James Devis],"""[Paul Baratta, (associate producer), Greg Blackwell, (producer), William J. Immerman, (executive producer), Al Kasha, (associate producer), J. David Marks, (executive producer)]"""
