index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer
0,b27,w123,,"""""""10,000 bc """"""",2008,105000000.0,269800000.0,1.5695238095238095,2008-03-07 00:00:00,3.0,1.0,67.0,9.0,0.0,109.0,3.0,[Alexander Berner],"""[Legendary Pictures, Centropolis Entertainment]""","""['Steven Strait', 'Camilla Belle']""",['Roland Emmerich'],"""['Roland Emmerich', 'Harald Kloser']""",Warner Bros.,"""['Harald Kloser', 'Thomas Wander']""",[Ueli Steiger],"""['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']"""
1,,w364,o22747,"""""""6,000 enemies""""""",1939,204000.0,358000.0,0.7549019607843137,2039-06-09 00:00:00,6.0,2.0,160.0,23.0,0.0,,,[Conrad A. Nervig],,,,,,,,
2,,w14968,o6022,"""""""a girl, a guy and a gob""""""",1941,412000.0,848000.0,1.058252427184466,2041-03-14 00:00:00,3.0,1.0,73.0,10.0,0.0,,,[George Crone],,,,,,,,
3,,w960,,"""""""alexander and the terrible, horrible, no good, very bad day """"""",,28000000.0,101400000.0,2.6214285714285714,,,,,,,,,[Pamela Martin],"""[Walt Disney Pictures, 21 Laps Entertainment, The Jim Henson Company]""",,,,,,,
4,,w1226,o10453,"""""""aloha, bobby and rose""""""",1975,60000.0,35000000.0,582.3333333333334,1975-04-29 00:00:00,4.0,2.0,119.0,17.0,0.0,,,[Danford B. Greene],[Cine Artists International],,,,,,,
5,b1662,w3520,o15817,"""""""bert rigby, you're a fool""""""",24-Feb,7000000.0,75868.0,-0.9891617142857144,1989-02-24 00:00:00,2.0,1.0,55.0,8.0,1.0,94.0,4.0,[Bud Molin],[Lorimar],['Anne Bancroft'],,,Warner Bros.,[Ralph Burns],[Jan de Bont],[George Shapiro]
6,b1778,w3865,o2465,"""""""big mommas: like father, like son""""""",2011,32000000.0,83900000.0,1.621875,2011-02-18 00:00:00,2.0,1.0,49.0,7.0,1.0,107.0,3.0,[Priscilla Nedd-Friendly],"""[Regency Enterprises, New Regency, Friendly Films, Runteldat Entertainment, The Collective, Dune Entertainment]""","""['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong*']""",['John Whitesell'],"""['Matthew Fogel', 'Don Rhymer']""",Fox,[David Newman],[Anthony B. Richmond],['Arnon Milchan']
7,b3073,w8228,,"""""""corrina, corrina """"""",1994,22000000.0,20164171.0,-0.08344677272727273,1994-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,115.0,2.0,[Lee Percy],[Turner Pictures],"""['Whoopi Goldberg', 'Ray Liotta']""",['Jessie Nelson'],,New Line,['Thomas Newman'],[Bruce Surtees],"""['Bernie Goldmann', 'Steve Tisch']"""
8,b3123,w8498,o2497,"""""""crazy, stupid, love""""""",2011,50000000.0,142900000.0,1.858,2011-07-29 00:00:00,7.0,3.0,210.0,30.0,0.0,118.0,3.0,[Lee Haxall],"""[Carousel Productions, Di Novi Pictures]""","""['Analeigh Tipton', 'Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone', 'Marisa Tomei', 'Kevin Bacon', 'John Carroll Lynch', 'Josh Groban', 'Joey King', 'Crystal Reed*']""","""['Glenn Ficarra', 'John Requa']""",['Dan Fogelman'],Warner Bros.,"""['Christophe Beck', 'Nick Urata']""",[Andrew Dunn],"""['Steve Carell', 'Denise Di Novi']"""
9,b3171,w8677,o10607,"""""""crouching tiger, hidden dragon""""""",2000,17000000.0,213500000.0,11.558823529411766,2000-12-08 00:00:00,12.0,4.0,343.0,49.0,0.0,120.0,3.0,[Tim Squyres],,['Zhang Ziyi'],['Ang Lee'],"""['James Schamus', 'Kuo Jung Tsai']""",Sony Classics,['Tan Dun'],[Peter Pau],"""[Bill Kong, Hsu Li-kong, Ang Lee]"""
10,b3186,w8751,,"""""""cry, the beloved country (1995 film)""""""",1995,4000000.0,676525.0,-0.83086875,1995-12-15 00:00:00,12.0,4.0,349.0,50.0,0.0,106.0,3.0,[David Heitner],,"""['James Earl Jones', 'Richard Harris']""",,,Miramax,[John Barry],[Paul Gilpin],"""[Anant Singh, Harry Alan Towers]"""
11,,w9032,o1527,"""""""dance, fools, dance""""""",1931,234000.0,1268000.0,4.418803418803419,2031-02-07 00:00:00,2.0,1.0,38.0,5.0,0.0,,,[George Hively],,,,,,,,
12,,w10344,o11442,"""""""dirty mary, crazy larry""""""",1974,1140000.0,28400000.0,23.91228070175439,1974-05-17 00:00:00,5.0,2.0,137.0,19.0,0.0,92.0,2.0,[Christopher Holmes],[Academy Pictures],,,,,,,
13,b3890,w11190,o10624,"""""""dude, where's my car?""""""",2000,13000000.0,73200000.0,4.630769230769231,2000-12-15 00:00:00,12.0,4.0,350.0,50.0,0.0,82.0,3.0,[Kimberly Ray],[Alcon Entertainment],"""['Ashton Kutcher', 'Jennifer Garner']""",,,Fox,['David Kitay'],[Robert M. Stevens],"""['Broderick Johnson', 'Andrew A. Kosove']"""
14,,w11373,,"""""""east side, west side (1949 film)""""""",,1754000.0,2540000.0,0.4481185860889396,,,,,,,,,[Harold F. Kress],[Metro-Goldwyn-Mayer],,,,,,,
15,b3982,w11466,o12452,"""""""edison, the man""""""",1940,893000.0,1787000.0,1.0011198208286674,2040-05-10 00:00:00,5.0,2.0,131.0,19.0,0.0,107.0,6.0,[Fredrick Y. Smith],,"""['Spencer Tracy', 'Rita Johnson', 'Lynne Overman', 'Charles Coburn', 'Gene Lockhart', 'Henry Travers']""",['Clarence Brown'],['Talbot Jennings'],MGM,['Herbert Stothart'],['Harold Rosson'],['John W. Considine']
16,,w11483,o23097,"""""""edward, my son""""""",1-Mar,2421000.0,2142000.0,-0.11524163568773235,2049-06-01 00:00:00,6.0,2.0,152.0,22.0,0.0,,,[Raymond Poulton],[MGM-British],,,,,,,
17,b4062,w11586,o11722,"""""""elvira, mistress of the dark""""""",1988,7500000.0,5596267.0,-0.25383106666666666,1988-09-30 00:00:00,9.0,3.0,274.0,39.0,0.0,96.0,3.0,[Battle Davis],[NBC Productions],Phil Rubenstein|Larry Flash Jenkins|Cassandra Peterson|Damita Jo Freeman,['James Signorelli'],,New World,[James B. Campbell],[Hanania Bier],"""[Eric Gardner, Mark Pierson]"""
18,b4379,w12472,,"""""""farewell, my lovely (1975 film)""""""",1975,2500000.0,2000000.0,-0.2,1975-08-08 00:00:00,8.0,3.0,220.0,31.0,0.0,95.0,4.0,"""[Joel Cox, Walter Thompson]""",[ITC Entertainment],['Sylvester Stallone*'],,,Embassy,[David Shire],[John A. Alonzo],['Jerry Bruckheimer']
19,,w12534,o6906,"""""""faster, pussycat! kill! kill!""""""",1965,45000.0,361221995.0,8026.155444444445,2065-08-06 00:00:00,8.0,3.0,218.0,31.0,0.0,,,[Russ Meyer],[EVE Productions],,,,,,,
20,b4640,w13491,o16551,"""""""food, inc.""""""",2008,1000000.0,4600000.0,3.6,2009-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,94.0,2.0,[Kim Roberts],,,,,Magnolia,,,['Jeff Skoll']
21,b4672,w13534,o3376,"""""""for a good time, call...""""""",2012,1300000.0,1251749.0,-0.03711615384615385,2012-08-31 00:00:00,8.0,3.0,244.0,35.0,1.0,,4.0,[Evan Henke],[AdScott Pictures],"""['Ari Graynor', 'Justin Long']""",,,Focus Features,[John Swihart],[James Laxton],"""[Josh Kesselman, Lauren Miller, Jennifer Weinbaum]"""
22,,w13671,o15157,"""""""forever, darling""""""",1956,951000.0,2288000.0,1.405888538380652,2056-02-09 00:00:00,2.0,1.0,40.0,6.0,0.0,,,"""[Dann Cahn, Bud Molin]""",,,,,,,,
23,,w14321,o17609,"""""""gaily, gaily""""""",1969,9000000.0,1000000.0,-0.8888888888888888,1970-03-23 00:00:00,3.0,1.0,82.0,12.0,0.0,,,"""[Byron W. Brandt, Ralph E. Winters]""",[The Mirisch Corporation],,,,,,,
24,b5076,w14969,,"""""""girl, interrupted """"""",1999,40000000.0,48300000.0,0.2075,1999-12-21 00:00:00,12.0,4.0,355.0,51.0,1.0,127.0,4.0,[Kevin Tent],,"""['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy', 'Elisabeth Moss']""",['James Mangold'],['James Mangold'],Sony / Columbia,['Mychael Danna'],[Jack N. Green],"""['Cathy Konrad', 'Douglas Wick']"""
25,,w15187,o15163,"""""""godzilla, king of the monsters!""""""",1956,650000.0,2000000.0,2.0769230769230766,2056-04-27 00:00:00,4.0,2.0,118.0,17.0,0.0,,,[Terry Morse],"""[Toho, Jewell Enterprises]""",,,,,,,
26,b5208,w15390,o1362,"""""""good morning, vietnam""""""",1987,13000000.0,123900000.0,8.53076923076923,1987-12-25 00:00:00,12.0,4.0,359.0,51.0,1.0,120.0,4.0,[Stu Linder],[Touchstone Pictures],"""['Forest Whitaker', 'Robin Williams']""",['Barry Levinson'],,Buena Vista,[Alex North],['Peter Sova'],['Mark Johnson']
27,b5211,w15396,o18273,"""""""good night, and good luck""""""",2005,7000000.0,56500000.0,7.071428571428571,2005-10-07 00:00:00,10.0,4.0,280.0,40.0,1.0,93.0,2.0,[Stephen Mirrione],"""[2929 Entertainment, Participant Productions, Section Eight Productions, Davis Films]""","""['David Strathairn', 'Patricia Clarkson', 'George Clooney', 'Jeff Daniels', 'Frank Langella']""",['George Clooney'],"""['George Clooney', 'Grant Heslov']""",Warner Independent,,['Robert Elswit'],"""['Jennifer Fox', 'Samuel Hadida', 'Grant Heslov', 'Jeff Skoll', 'Steven Soderbergh']"""
28,,w15444,,"""""""goodbye, columbus """"""",,1500000.0,22939805.0,14.293203333333333,,,,,,,,,[Ralph Rosenblum],[Willow Tree],,,,,,,
29,,w15448,o1786,"""""""goodbye, my fancy""""""",1951,1312000.0,1300000.0,-0.009146341463414634,2051-05-19 00:00:00,5.0,2.0,139.0,20.0,0.0,,,[Rudi Fehr],,,,,,,,
30,b5270,w15575,o3171,"""""""grandview, u.s.a.""""""",1984,5000000.0,4743119.0,-0.0513762,1984-08-03 00:00:00,8.0,3.0,216.0,31.0,0.0,97.0,4.0,[Robert Gordon],[CBS Theatrical Films],"""['Jamie Lee Curtis', 'C. Thomas Howell', 'Patrick Swayze', 'Troy Donahue', 'Jennifer Jason Leigh', 'John Cusack*']""",,,Warner Bros.,"""['Thomas Newman', 'Thomas Newman']""",[Reynaldo Villalobos],"""[William Blaylock, Peter W. Rea]"""
31,b5393,w16111,o5374,"""""""hail, caesar!""""""",2016,22000000.0,63600000.0,1.8909090909090909,2016-02-05 00:00:00,2.0,1.0,36.0,5.0,0.0,106.0,3.0,"""[Joel Coen, Ethan Coen]""",,"""['Josh Brolin', 'George Clooney', 'Ralph Fiennes', 'Tilda Swinton', 'Channing Tatum', 'Scarlett Johansson', 'Jonah Hill']""","""['Ethan Coen', 'Joel Coen']""","""['Ethan Coen', 'Joel Coen']""",Universal,['Carter Burwell'],['Roger Deakins'],"""['Tim Bevan', 'Ethan Coen', 'Joel Coen', 'Eric Fellner']"""
32,,w16333,,"""""""happy, texas """"""",,1750000.0,3920000.0,1.24,,,,,,,,,[Norman Buckley],,,,,,,,
33,,w16550,o4310,"""""""have rocket, will travel""""""",1959,380000.0,2500000.0,5.57894736842105,2059-08-01 00:00:00,8.0,3.0,213.0,30.0,0.0,,,[Danny B. Landres],,,,,,,,
34,b5565,w16607,o13755,"""""""he said, she said""""""",1991,15000000.0,9804775.0,-0.3463483333333333,1991-02-22 00:00:00,2.0,1.0,53.0,7.0,1.0,115.0,3.0,[Sidney Levin],,"""['Kevin Bacon', 'Sharon Stone']""",['Ken Kwapis'],,Paramount,[Miles Goodman],[Stephen H. Burum],"""[Frank Mancuso Jr., Vikki Williams]"""
35,,w16794,o11913,"""""""heaven knows, mr. allison""""""",1957,2905000.0,4200000.0,0.4457831325301205,2057-03-13 00:00:00,3.0,1.0,72.0,10.0,0.0,,,[Russell Lloyd],,,,,,,,
36,,w16956,,"""""""hello, dolly! """"""",,25000000.0,26000000.0,0.04,,,,,,,,,[William Reynolds],[Chenault Productions],,,,,,,
37,b5660,w16960,o8879,"""""""hello, my name is doris""""""",2015,1000000.0,14700000.0,13.7,2016-03-11 00:00:00,3.0,1.0,71.0,10.0,0.0,90.0,4.0,[Robert Nassau],"""[Haven Entertainment, Red Crown]""","""['Sally Field', 'Peter Gallagher', 'Max Greenfield', 'Natasha Lyonne']""",['Michael Showalter'],,Roadside Attractions,[Brian H. Kim],[Brian Burgoyne],"""[Daniel Crown, Kevin Mann, Riva Marker, Jordana Mollick, Daniela Taplin Lundberg]"""
38,,w17393,o5723,"""""""hips, hips, hooray!""""""",1934,336000.0,625000.0,0.8601190476190477,2034-02-02 00:00:00,2.0,1.0,33.0,5.0,0.0,,,[Basil Wrangell],,,,,,,,
39,b5785,w17494,o11034,"""""""history of the world, part i""""""",1981,10000000.0,31700000.0,2.17,1981-06-12 00:00:00,6.0,2.0,163.0,23.0,0.0,92.0,4.0,[John C. Howard],[Brooksfilms],Mel Brooks|Dom DeLuise|Madeline Kahn|Harvey Korman,['Mel Brooks'],,Fox,[John Morris],[Woody Omens],[Mel Brooks]
40,b5862,w17811,o7500,"""""""honey, i blew up the kid""""""",1992,40000000.0,76000000.0,0.9,1992-07-17 00:00:00,7.0,3.0,199.0,28.0,0.0,89.0,2.0,[Harry Hitner],[Walt Disney Pictures],Rick Moranis|Marcia Strassman|Robert Oliveri|Daniel Shalikar,Randal Kleiser,,Buena Vista,[Bruce Broughton],[John Hora],"""[Dawn Steel, Edward S. Feldman]"""
41,b5863,w17812,o15880,"""""""honey, i shrunk the kids""""""",1989,18000000.0,222700000.0,11.372222222222225,1989-06-23 00:00:00,6.0,2.0,174.0,25.0,0.0,94.0,2.0,[Michael A. Stevenson],[Walt Disney Pictures],,['Joe Johnston'],,Buena Vista,['James Horner'],[Hiro Narita],['Jon Landau']
42,,w17889,,"""""""hook, line and sinker (1930 film)""""""",,287000.0,780000.0,1.7177700348432057,,,,,,,,,[Archie Marshek],[RKO Radio Pictures],,,,,,,
43,,w18245,o9476,"""""""how to be very, very popular""""""",1955,1565000.0,3700000.0,1.3642172523961662,2056-01-06 00:00:00,1.0,1.0,6.0,1.0,0.0,,,[Louis Loeffler],,,,,,,,
44,b6039,w18452,o19529,"""""""hush... hush, sweet charlotte""""""",1964,2235000.0,4000000.0,0.7897091722595079,2064-12-25 00:00:00,12.0,4.0,360.0,51.0,0.0,133.0,6.0,[Michael Luciano],[The Associates and Aldrich],"""['Bette Davis', 'Olivia de Havilland', 'Joseph Cotten', 'Agnes Moorehead', 'Cecil Kellaway', 'Victor Buono', 'Mary Astor', 'Wesley Addy', 'William Campbell', 'Bruce Dern']""",['Robert Aldrich'],"""['Henry Farrell', 'Lukas Heller']""",Fox,['Frank De Vol'],['Joseph F. Biroc'],['Robert Aldrich']
45,b6090,w18600,,"""""""i love you, beth cooper """"""",2009,18000000.0,15800000.0,-0.12222222222222222,2009-07-10 00:00:00,7.0,3.0,191.0,27.0,1.0,102.0,3.0,[Peter Honess],"""[1492 Pictures, The Bridge Studios, Ingenious Film Partners, Fox Atomic]""",['Hayden Panettiere'],['Chris Columbus'],,Fox,['Christophe Beck'],[Phil Abraham],['Chris Columbus']
46,b6094,w18603,o18727,"""""""i love you, man""""""",2009,40000000.0,91600000.0,1.29,2009-03-20 00:00:00,3.0,1.0,79.0,11.0,0.0,104.0,4.0,[William Kerr],,"""['Paul Rudd', 'Jason Segel', 'Rashida Jones', 'Andy Samberg', 'Jon Favreau', 'Aziz Ansari*']""",['John Hamburg'],,Paramount (DreamWorks),['Theodore Shapiro'],['Larry Sher'],"""['Bill Johnson', 'Tom Pollock']"""
47,b6153,w18709,o9994,"""""""i, frankenstein""""""",2014,65000000.0,71200000.0,0.0953846153846154,2014-01-24 00:00:00,1.0,1.0,24.0,3.0,1.0,92.0,3.0,[Marcus D'Arcy],"""[Lakeshore Entertainment, Hopscotch Features, Sidney Kimmel Entertainment]""","""['Aaron Eckhart', 'Bill Nighy', 'Yvonne Strahovski', 'Miranda Otto', 'Jai Courtney']""",['Stuart Beattie'],['Stuart Beattie'],Lionsgate,"""[Johnny Klimek, Reinhold Heil]""",[Ross Emery],"""['Gary Lucchesi', 'Tom Rosenberg', 'Richard Wright']"""
48,b6155,w18712,,"""""""i, robot """"""",2004,120000000.0,347200000.0,1.893333333333333,2004-07-16 00:00:00,7.0,3.0,198.0,28.0,0.0,115.0,3.0,"""[Richard Learoyd, Armen Minasian, William Hoy]""","""[Davis Entertainment, Laurence Mark Productions, Overbrook Films, Mediastream IV]""","""['Will Smith', 'Bridget Moynahan', 'Alan Tudyk', 'James Cromwell', 'Bruce Greenwood', 'Chi McBride', 'Shia LaBeouf']""",['Alex Proyas'],"""['Jeff Vintar', 'Akiva Goldsman']""",Fox,['Marco Beltrami'],[Simon Duggan],"""['John Davis', 'Wyck Godfrey', 'James Lassiter', 'Laurence Mark', 'Will Smith']"""
49,b6483,w19718,o7367,"""""""it's a mad, mad, mad, mad world""""""",1963,9400000.0,60000000.0,5.382978723404255,2063-11-07 00:00:00,11.0,4.0,311.0,44.0,0.0,,7.0,"""[Frederic Knudtson, Robert C. Jones, Gene Fowler, Jr.]""",,Spencer Tracy|Milton Berle|Sid Caesar|Buddy Hackett,Stanley Kramer,,MGM,[Ernest Gold],[Ernest Laszlo],[Stanley Kramer]
50,b6581,w19975,o2571,"""""""jeff, who lives at home""""""",2011,7500000.0,4400000.0,-0.4133333333333333,2012-03-16 00:00:00,3.0,1.0,76.0,11.0,0.0,83.0,4.0,[Jay Deuby],"""[Right of Way Films, Indian Paintbrush, Mr. Mudd]""","""['Jason Segel', 'Ed Helms', 'Susan Sarandon', 'Judy Greer']""","""['Jay Duplass', 'Mark Duplass']""","""['Jay Duplass', 'Mark Duplass']""",Paramount Vantage,[Michael Andrews],[Jas Shelton],"""['Steven M. Rales', 'Jason Reitman']"""
51,,w20136,o19711,"""""""joe smith, american""""""",1942,236000.0,708000.0,2.0,2042-02-01 00:00:00,2.0,1.0,32.0,4.0,0.0,,,[Elmo Veron],[Metro-Goldwyn-Mayer],,,,,,,
52,b7297,w21811,o9739,"""""""legally blonde 2: red, white & blonde""""""",2003,45000000.0,124900000.0,1.7755555555555556,2003-07-02 00:00:00,7.0,3.0,183.0,26.0,1.0,95.0,3.0,[Peter Teschner],,"""['Reese Witherspoon', 'Sally Field', 'Jennifer Coolidge', 'Luke Wilson']""",,,MGM,['Rolfe Kent'],['Elliot Davis'],['Marc Platt']
53,,w22332,o9196,"""""""listen, darling""""""",1938,566000.0,583000.0,0.03003533568904593,2038-10-21 00:00:00,10.0,4.0,294.0,42.0,0.0,,,[Blanche Sewell],,,,,,,,
54,b7708,w23206,o2591,"""""""love, wedding, marriage""""""",2011,1200000.0,1926.0,-0.998395,2011-06-03 00:00:00,6.0,2.0,154.0,22.0,1.0,,3.0,[Heather Persons],"""[Chydzik Media Group, Voodoo Production Services, First Wedding Productions]""","""['Mandy Moore', 'Kellan Lutz', 'James Brolin', 'Jane Seymour']""",['Dermot Mulroney'],,IFC,[Blake Neely],[OÌttar GuÃ°nason],[Michelle Chydzik Sowa]
55,b7753,w23414,o3837,"""""""lust, caution""""""",2007,15000000.0,67091915.0,3.4727943333333333,2007-09-28 00:00:00,9.0,3.0,271.0,38.0,0.0,158.0,5.0,[Tim Squyres],"""[River Road Entertainment, Haishang Films, Sil-Metropole Organisation]""","""['Tony Leung', 'Joan Chen']""",['Ang Lee'],['James Schamus'],Focus Features,['Alexandre Desplat'],[Rodrigo Prieto],"""[Ang Lee, William Kong, James Schamus]"""
56,,w24341,o11227,"""""""mary burns, fugitive""""""",1935,337152.0,513176.0,0.5220909263477601,2035-11-15 00:00:00,11.0,4.0,319.0,45.0,0.0,,,[],,,,,,,,
57,b8078,w24542,o8936,"""""""mcfarland, usa""""""",2015,17000000.0,45700000.0,1.688235294117647,2015-02-20 00:00:00,2.0,1.0,51.0,7.0,1.0,129.0,2.0,[David Coulson],"""[Walt Disney Pictures, Mayhem Pictures]""","""['Maria Bello', 'Kevin Costner']""",['Niki Caro'],,Buena Vista,[AntoÌnio Pinto],[Adam Arkapaw],"""[Mark Ciardi, Gordon Gray]"""
58,b8094,w24572,o10662,"""""""me, myself & irene""""""",2000,51000000.0,149270999.0,1.9268823333333327,2000-06-23 00:00:00,6.0,2.0,175.0,25.0,0.0,116.0,4.0,[Christopher Greenbury],[Conundrum Entertainment],"""['Jim Carrey', 'Chris Cooper', 'Tony Cox', 'Renee Zellweger']""",['The Farrelly Bros.'],['Mike Cerrone'],Fox,"""[Pete Yorn, Lee Scott]""",[Mark Irwin],"""['Bradley Thomas', 'Charles B. Wessler']"""
59,b8166,w24772,,"""""""men, women & children """"""",2014,16000000.0,2200000.0,-0.8625,2014-10-01 00:00:00,10.0,4.0,274.0,39.0,0.0,119.0,4.0,[Dana E. Glauberman],[Right of Way Films],"""['Dean Norris', 'Adam Sandler', 'Ansel Elgort', 'Judy Greer', 'Jennifer Garner', 'Rosemarie DeWitt', 'J.K. Simmons*', 'Emma Thompson*']""",['Jason Reitman'],['Jason Reitman'],Paramount,[Bibio],[Eric Steelberg],['Jason Reitman']
60,,w25800,o17736,"""""""mother, jugs & speed""""""",1976,3220000.0,7630000.0,1.3695652173913044,1976-05-26 00:00:00,5.0,2.0,147.0,21.0,1.0,,,[Frank P. Keller],,,,,,,,
61,b8488,w25883,o7375,"""""""move over, darling""""""",1963,3350000.0,12705882.0,2.792800597014925,2063-12-19 00:00:00,12.0,4.0,353.0,50.0,0.0,103.0,6.0,[Robert L. Simpson],[20th Century Fox],"""['Doris Day', 'James Garner', 'Polly Bergen', 'Chuck Connors', 'Thelma Ritter', 'Fred Clark']""",['Michael Gordon'],"""['Hal Kanter', 'Jack Sher', 'Bella Spewack* ', 'Sam Spewack* ', 'Leo McCarey* ']""",Fox,['Lionel Newman'],['Daniel L. Fapp'],"""['Martin Melcher', 'Aaron Rosenberg']"""
62,b8730,w26566,o2115,"""""""mystery, alaska""""""",1999,28000000.0,8891623.0,-0.6824420357142857,1999-10-01 00:00:00,10.0,4.0,274.0,39.0,0.0,119.0,4.0,[Jon Poll],[Hollywood Pictures],['Russell Crowe'],['Jay Roach'],,Buena Vista,['Carter Burwell'],['Peter Deming'],['Shauna Robertson*']
63,b8850,w26955,,"""""""new york, new york (1977 film)""""""",1977,14000000.0,16399999.999999998,0.1714285714285713,1977-06-22 00:00:00,6.0,2.0,173.0,25.0,0.0,163.0,2.0,"""[Bert Lovitt, David Ramirez, Tom Rolf]""","""[Chartoff, Winkler, Productions]""",['Robert DeNiro'],['Martin Scorsese'],,United Artists,"""[John Kander, Fred Ebb]""",[LaÌszloÌ KovaÌcs],['Irwin Winkler']
64,,w27004,,"""""""nick carter, master detective """"""",,379000.0,456000.0,0.2031662269129288,,,,,,,,,[Elmo Veron],,,,,,,,
65,,w27312,o21563,"""""""no leave, no love""""""",1946,1778000.0,3785000.0,1.1287964004499438,2046-10-03 00:00:00,10.0,4.0,276.0,39.0,0.0,,,[],,,,,,,,
66,,w27389,,"""""""no, no, nanette (1940 film)""""""",,570000.0,940000.0,0.6491228070175439,,,,,,,,,[Elmo Williams],,,,,,,,
67,,w27584,o19765,"""""""now, voyager""""""",1942,761000.0,2200000.0,1.890932982917214,2042-10-31 00:00:00,10.0,4.0,304.0,43.0,0.0,,,[Warren Low],,,,,,,,
68,b9083,w27640,o10672,"""""""o brother, where art thou?""""""",2000,26000000.0,71900000.0,1.765384615384615,2000-12-22 00:00:00,12.0,4.0,357.0,51.0,1.0,107.0,3.0,"""[Roderick Jaynes, Tricia Cooke]""","""[Mike Zoss Productions, Touchstone Pictures, StudioCanal, Working Title Films]""","""['George Clooney', 'Holly Hunter']""",['Joel Coen'],"""['Ethan Coen', 'Joel Coen']""",Buena Vista,[T Bone Burnett],['Roger Deakins'],"""['Tim Bevan', 'Ethan Coen', 'Eric Fellner']"""
69,,w28191,o19426,"""""""one, two, three""""""",1961,3000000.0,4000000.0,0.3333333333333333,2061-12-15 00:00:00,12.0,4.0,349.0,50.0,0.0,,,[Daniel Mandell],"""[The Mirisch Company, Pyramid Productions, A. G.]""",,,,,,,
70,,w28789,o18097,"""""""paradise, hawaiian style""""""",1966,2000000.0,2500000.0,0.25,2066-06-15 00:00:00,6.0,2.0,166.0,24.0,0.0,,,[Warren Low],"""[Paramount Pictures, Hal Wallis Productions]""",,,,,,,
71,,w28863,,"""""""paris, texas """"""",,1800000.0,2200000.0,0.2222222222222222,,,,,,,,,[Peter Przygodda],"""[Road Movies Filmproduktion, Channel Four Films, Argos Films, Westdeutscher Rundfunk (WDR)]""",,,,,,,
72,b9713,w29627,,"""""""planes, trains and automobiles""""""",1987,30.0,49.5,0.65,1987-11-25 00:00:00,11.0,4.0,329.0,47.0,1.0,92.0,4.0,[Paul Hirsch],[Hughes Entertainment],"""['Steve Martin', 'John Candy', 'Kevin Bacon*']""",['John Hughes'],['John Hughes'],Paramount,"""[Ira Newborn, (score), Brian Banks and, Anthony Marinelli, (additional music)]""",[Donald Peterman],['John Hughes']
73,,w30812,o5573,"""""""rachel, rachel""""""",1968,780000.0,3000000.0,2.8461538461538463,2068-08-26 00:00:00,8.0,3.0,239.0,35.0,0.0,,,[Dede Allen],[Kayos Productions],,,,,,,
74,,w31691,o9277,"""""""rich man, poor girl""""""",1938,240000.0,498000.0,1.075,2038-08-12 00:00:00,8.0,3.0,224.0,32.0,0.0,,,[Frank E. Hull],[],,,,,,,
75,,w31698,o1849,"""""""rich, young and pretty""""""",1951,1528000.0,2999000.0,0.962696335078534,2051-07-09 00:00:00,7.0,3.0,190.0,28.0,0.0,,,[Gene Ruggiero],[MGM],,,,,,,
76,,w31752,o14009,"""""""ride, vaquero!""""""",1953,1128000.0,3427000.0,2.0381205673758864,2053-07-17 00:00:00,7.0,3.0,198.0,28.0,0.0,,,[Harold F. Kress],,,,,,,,
77,,w32704,o10338,"""""""salome, where she danced""""""",1945,1159225.0,2598964.0,1.2419840841941814,2045-04-17 00:00:00,4.0,2.0,107.0,16.0,0.0,90.0,,[Russell F. Schoengarth],[Walter Wanger Productions],,,,,,,
78,b10834,w33464,o15925,"""""""see no evil, hear no evil""""""",1989,18000000.0,46900000.0,1.6055555555555556,1989-05-12 00:00:00,5.0,2.0,132.0,19.0,0.0,103.0,4.0,[Robert C. Jones],,"""['Richard Pryor', 'Gene Wilder', 'Kevin Spacey']""",,,TriStar,[Stewart Copeland],[Victor J. Kemper],[Marvin Worth]
79,b16826,w33689,o15926,"""""""sex, lies, and videotape""""""",1989,1200000.0,24700000.0,19.58333333333333,1989-08-04 00:00:00,8.0,3.0,216.0,31.0,0.0,100.0,4.0,[Steven Soderbergh],[Outlaw Productions],['James Spader'],['Steven Soderbergh'],['Steven Soderbergh'],Miramax,['Cliff Martinez'],[Walt Lloyd],['Nick Wechsler']
80,,w34300,,"""""""silent night, deadly night part 2""""""",,100000.0,154323.0,0.54323,,,,,,,,,[Lee Harry],[Silent Night Releasing Corporation],,,,,,,
81,b11112,w34297,o3213,"""""""silent night, deadly night""""""",1984,1065000.0,2491460.0,1.339399061032864,1984-11-09 00:00:00,11.0,4.0,314.0,45.0,1.0,,4.0,[Michael Spence],[Slayride],,,,TriStar,[Perry Botkin],[Henning Schellerup],"""[Ira Richard Barmak, Scott J. Schneid, Dennis Whitehead]"""
82,,w34532,,"""""""sister, sister (1987 film)""""""",,4000000.0,743445.0,-0.81413875,,,,,,,,,[Virginia Katz],[New World Entertainment Films],,,,,,,
