link	name	domestic_revenue	foreign_revenue	worldwide_revenue	total_lifetime_gross
http://www.boxofficemojo.com/movies/?id=horrorifc.htm	#Horror				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=9dot99.htm	$9.99 	"$52,384 "	"$655,970 "	"$708,354 "	
http://www.boxofficemojo.com/movies/?id=supercapitalist.htm	$upercapitalist	"$15,919 "			
http://www.boxofficemojo.com/movies/?id=71.htm	'71	"$1,270,847 "	"$355,000 "	"$1,625,847 "	
http://www.boxofficemojo.com/movies/?id=nsyncimax.htm	'N Sync: Bigger Than Live (IMAX)	"$1,808,679 "			
http://www.boxofficemojo.com/movies/?id=neaththearizonaskies.htm	'Neath the Arizona Skies				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=nightmother.htm	"'Night, Mother"	"$441,863 "			
http://www.boxofficemojo.com/movies/?id=rxmas.htm	'R Xmas	$850 	n/a	$850 	
http://www.boxofficemojo.com/movies/?id=roundmidnight.htm	'Round Midnight	"$3,272,593 "			
http://www.boxofficemojo.com/movies/?id=tisautumn.htm	'Tis Autumn: The Search for Jackie Paris	"$1,476 "	"$1,871 "	"$3,347 "	
http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm	(500) Days of Summer	"$32,391,374 "	"$28,331,360 "	"$60,722,734 "	
http://www.boxofficemojo.com/movies/?id=untitled.htm	(Untitled)	"$230,600 "			
http://www.boxofficemojo.com/movies/?id=batteriesnotincluded.htm	* batteries not included	"$32,945,797 "	"$32,143,000 "	"$65,088,797 "	
http://www.boxofficemojo.com/movies/?id=andjusticeforall.htm	...And Justice for All	"$33,300,000 "			
http://www.boxofficemojo.com/movies/?id=1mileabove.htm	1 Mile Above				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=1plus1.htm	1+1=11	"$132,498 "			
http://www.boxofficemojo.com/movies/?id=1000rupeenote.htm	"1,000 Rupee Note"	"$2,404 "			
http://www.boxofficemojo.com/movies/?id=1000times.htm	"1,000 Times Good Night"	"$53,895 "	n/a	"$53,895 "	
http://www.boxofficemojo.com/movies/?id=10.htm	10	"$74,865,517 "			
http://www.boxofficemojo.com/movies/?id=badrobot2016.htm	10 Cloverfield Lane	"$72,082,998 "	"$38,134,000 "	"$110,216,998 "	
http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm	10 Days in a Madhouse	"$14,616 "			
http://www.boxofficemojo.com/movies/?id=10itemsorless.htm	10 Items or Less	"$83,291 "	"$1,315,931 "	"$1,399,222 "	
http://www.boxofficemojo.com/movies/?id=10questionsforthedalailama.htm	10 Questions for the Dalai Lama	"$224,546 "	"$259,941 "	"$484,487 "	
http://www.boxofficemojo.com/movies/?id=10rules.htm	10 Rules for Sleeping Around				No Total Lifetime Gross Information
http://www.boxofficemojo.com/movies/?id=10thingsihateaboutyou.htm	10 Things I Hate About You	"$38,178,166 "	"$15,300,000 "	"$53,478,166 "	
http://www.boxofficemojo.com/movies/?id=10years.htm	10 Years	"$203,373 "	n/a	"$203,373 "	
http://www.boxofficemojo.com/movies/?id=10tomidnight.htm	10 to Midnight	"$7,175,592 "			
http://www.boxofficemojo.com/movies/?id=10000bc.htm	"10,000 B.C."	"$94,784,201 "	"$175,000,000 "	"$269,784,201 "	
http://www.boxofficemojo.com/movies/?id=10000km.htm	"10,000 Km"	"$12,423 "			
http://www.boxofficemojo.com/movies/?id=100bloodyacres.htm	100 Bloody Acres	"$6,388 "			
http://www.boxofficemojo.com/movies/?id=1001grams.htm	1001 Grams	"$10,983 "	n/a	"$10,983 "	
http://www.boxofficemojo.com/movies/?id=101dalmations.htm	101 Dalmatians	"$144,880,014 "	"$71,000,000 "	"$215,880,014 "	
http://www.boxofficemojo.com/movies/?id=101dalmatiansliveaction.htm	101 Dalmatians (1996)	"$136,189,294 "	"$184,500,000 "	"$320,689,294 "	
http://www.boxofficemojo.com/movies/?id=101dalmatians69.htm	101 Dalmatians (Re-issue) (1969)	"$144,880,014 "			
http://www.boxofficemojo.com/movies/?id=101dalmatians79.htm	101 Dalmatians (Re-issue) (1979)	"$144,880,014 "			
