,Domestic,Foreign,Total Lifetime Gross,Worldwide,Link,Name
16111,"$234,750","$2,611,398",,"$2,846,148",http://www.boxofficemojo.com/movies/?id=wah-wah.htm,Wah-Wah
16112,"$21,344,312","$8,991",,"$21,353,303",http://www.boxofficemojo.com/movies/?id=waistdeep.htm,Waist Deep
16113,"$6,417,135","$9,322",,"$6,426,457",http://www.boxofficemojo.com/movies/?id=waitingforsuperman.htm,"Waiting for <i>""Superman""</i>"
16114,"$10,501",,,,http://www.boxofficemojo.com/movies/?id=waitingforarmageddon.htm,Waiting for Armageddon
16115,"$5,925",,,,http://www.boxofficemojo.com/movies/?id=waitingfordublin.htm,Waiting for Dublin
16116,"$25,517",,,,http://www.boxofficemojo.com/movies/?id=waitingforforever.htm,Waiting for Forever
16117,"$2,923,982",,,,http://www.boxofficemojo.com/movies/?id=waitingforguffman.htm,Waiting for Guffman
16118,"$7,406",,,,http://www.boxofficemojo.com/movies/?id=waitingforhappiness.htm,Waiting for Happiness
16119,"$21,577",,,,http://www.boxofficemojo.com/movies/?id=waitingforlightning.htm,Waiting for Lightning
16120,"$808,690",,,,http://www.boxofficemojo.com/movies/?id=waitingforthelight.htm,Waiting for the Light
16121,"$751,555",,,,http://www.boxofficemojo.com/movies/?id=waitingforthemoon.htm,Waiting for the Moon
16122,"$67,052,156","$14,400,000",,"$81,452,156",http://www.boxofficemojo.com/movies/?id=waitingtoexhale.htm,Waiting to Exhale
16123,"$16,124,543","$2,513,147",,"$18,637,690",http://www.boxofficemojo.com/movies/?id=waiting.htm,Waiting...
16124,"$19,074,800","$3,104,630",,"$22,179,430",http://www.boxofficemojo.com/movies/?id=waitress.htm,Waitress
16125,"$7,212",,,,http://www.boxofficemojo.com/movies/?id=wake.htm,Wake
16126,"$718,766","$3,559,315",,"$4,278,081",http://www.boxofficemojo.com/movies/?id=wakeupsid.htm,Wake Up Sid
16127,"$50,394",,,,http://www.boxofficemojo.com/movies/?id=wakeinfright.htm,Wake in Fright
16128,,,No Total Lifetime Gross Information,,http://www.boxofficemojo.com/movies/?id=wakeoftheredwitch.htm,Wake of the Red Witch
16129,"$2,901,447","$275,433",,"$3,176,880",http://www.boxofficemojo.com/movies/?id=wakinglife.htm,Waking Life
16130,"$24,792,251","$30,465,199",,"$55,257,450",http://www.boxofficemojo.com/movies/?id=wakingneddevine.htm,Waking Ned Devine
16131,"$80,741","$4,177",,"$84,918",http://www.boxofficemojo.com/movies/?id=wakingsleepingbeauty.htm,Waking Sleeping Beauty
16132,"$267,109",n/a,,"$267,109",http://www.boxofficemojo.com/movies/?id=wakingupinreno.htm,Waking Up in Reno
16133,"$270,745",,,,http://www.boxofficemojo.com/movies/?id=wakingthedead.htm,Waking the Dead
16134,"$18,317,151","$2,258,092",,"$20,575,243",http://www.boxofficemojo.com/movies/?id=walkhard.htm,Walk Hard: The Dewey Cox Story
16135,"$1,675,040",,,,http://www.boxofficemojo.com/movies/?id=walkproud.htm,Walk Proud
