bom_budget,bom_domestic_gross,bom_title,bom_worldwide_revenue,key_bom,key_omdb,key_wiki,omdb_title,wiki_budget,wiki_gross,wiki_title,year_bom_format,year_omdb_format,year_wiki_format,budget,gross
0.0,0.0,,0.0,,,w5351,,25000.0,205724.0,the bridge (2006 documentary film),,,,25000.0,205724.0
0.0,0.0,,0.0,,,w20942,,130.0,211.7,kingdom of heaven ,,,,130.0,211.7
0.0,0.0,,0.0,,o23015,w32268,the rookie cop,77000.0,162000.0,the rookie cop,,1939.0,28-Apr,77000.0,162000.0
0.0,0.0,,0.0,,o22403,w26303,my brother's wedding,50000.0,8217.0,my brother's wedding,,1983.0,1983,50000.0,8217.0
0.0,0.0,,0.0,,o12920,w2083,the art of marriage,3500.0,100000.0,the art of marriage,,1970.0,25-Mar,3500.0,100000.0
0.0,0.0,,0.0,,o4466,w23136,love me deadly,42500.0,18300000.0,love me deadly,,1973.0,1973,42500.0,18300000.0
0.0,0.0,,0.0,,o21805,w3342,behind the green door,60000.0,50000000.0,behind the green door,,1972.0,1972,60000.0,50000000.0
0.0,0.0,,0.0,,o14455,w31572,the return of the vampire,75000.0,500000.0,the return of the vampire,,1943.0,1943,75000.0,500000.0
0.0,0.0,,0.0,,o21870,w29511,pink flamingos,10000.0,7000000.0,pink flamingos,,1972.0,1972,10000.0,7000000.0
0.0,0.0,,0.0,,o6906,w12534,"""faster, pussycat! kill! kill!""",45000.0,361221995.0,"""faster, pussycat! kill! kill!""",,1965.0,1965,45000.0,361221995.0
0.0,0.0,,0.0,,o12897,w26054,multiple maniacs,5000.0,33036.0,multiple maniacs,,1970.0,1970,5000.0,33036.0
0.0,0.0,,0.0,,o10453,w1226,"""aloha, bobby and rose""",60000.0,35000000.0,"""aloha, bobby and rose""",,1975.0,1975,60000.0,35000000.0
0.0,0.0,,0.0,,o4382,w18947,the immoral mr. teas,24000.0,1500000.0,the immoral mr. teas,,1959.0,1959,24000.0,1500000.0
0.0,0.0,,0.0,,o14949,w42899,you can't buy luck,86000.0,175000.0,you can't buy luck,,1937.0,1937,86000.0,175000.0
0.0,0.0,,0.0,,o8792,w38178,thoroughly modern millie,6.0,34335025.0,thoroughly modern millie,,1967.0,1967,6.0,34335025.0
0.0,0.0,,0.0,,o3448,w24740,men in black 3,215.0,624000000.0,men in black 3,,2012.0,2012,215.0,624000000.0
0.0,0.0,,0.0,,o11862,w2285,attack of the crab monsters,70000.0,1000000.0,attack of the crab monsters,,1957.0,1957,70000.0,1000000.0
0.0,0.0,,0.0,,o17796,w40432,velvet smooth,20000.0,770000.0,velvet smooth,,1976.0,1976,20000.0,770000.0
0.0,0.0,,0.0,,o21309,w41377,what every woman learns,44425.0,169358.1923,what every woman learns,,1919.0,1919,44425.0,169358.1923
0.0,0.0,,0.0,,o9579,w29342,"""the phantom from 10,000 leagues""",75000.0,400000.0,"""the phantom from 10,000 leagues""",,1955.0,1955,75000.0,400000.0
0.0,0.0,,0.0,,o14012,w32092,robot monster,50000.0,1000000.0,robot monster,,1953.0,1953,50000.0,1000000.0
0.0,0.0,,0.0,,o21063,w5470,broken blossoms,88000.0,600000.0,broken blossoms,,1919.0,1919,88000.0,600000.0
0.0,0.0,,0.0,,o9453,w9410,day the world ended,96234.49,400000.0,day the world ended,,1955.0,1955,96234.49,400000.0
0.0,0.0,,0.0,,o7339,w4473,blood feast,24500.0,4000000.0,blood feast,,1963.0,1963,24500.0,4000000.0
0.0,0.0,,0.0,,o7048,w20781,killer of sheep,10000.0,416509.0,killer of sheep,,1978.0,0,10000.0,416509.0
0.0,0.0,,0.0,,o22533,w14753,ghost valley,41000.0,101000.0,ghost valley,,1932.0,1932,41000.0,101000.0
0.0,0.0,,0.0,,o8471,w39180,the transformers: the movie,6.0,5.8,the transformers: the movie,,1986.0,1986,6.0,5.8
0.0,0.0,,0.0,,o1895,w23869,the man from planet x,51000.0,1200000.0,the man from planet x,,1951.0,9-Mar,51000.0,1200000.0
0.0,0.0,,0.0,,o13528,w10439,divine trash,10000.0,39842.0,divine trash,,1998.0,1998,10000.0,39842.0
0.0,0.0,,0.0,,o6195,w28742,paper bullets,19000.0,200000.0,paper bullets,,1941.0,1941,19000.0,200000.0
0.0,0.0,,0.0,,o102,w17465,his private secretary,9000.0,95000.0,his private secretary,,1933.0,1933,9000.0,95000.0
0.0,0.0,,0.0,,o6550,w3022,battle of blood island,51579.31,28828.12,battle of blood island,,1960.0,1960,51579.31,28828.12
0.0,0.0,,0.0,,o5614,w40657,vixen!,73000.0,8000000.0,vixen!,,1968.0,1968,73000.0,8000000.0
0.0,0.0,,0.0,,o5713,w15839,gridiron flash,78000.0,199000.0,gridiron flash,,1934.0,1934,78000.0,199000.0
0.0,0.0,,0.0,,o6240,w34582,six-gun gold,49000.0,113000.0,six-gun gold,,1941.0,1941,49000.0,113000.0
0.0,0.0,,0.0,,o19594,w41362,what a way to go!,3.75,11180531.0,what a way to go!,,1964.0,1964,3.75,11180531.0
0.0,0.0,,0.0,,o12229,w32322,rose of the rancho,16988.0,87028.0,rose of the rancho,,1914.0,1914,16988.0,87028.0
0.0,0.0,,0.0,,o4425,w4280,blackenstein,80000.0,2000000.0,blackenstein,,1973.0,1973,80000.0,2000000.0
0.0,0.0,,0.0,,o11924,w18690,i was a teenage werewolf,82000.0,2000000.0,i was a teenage werewolf,,1957.0,1957,82000.0,2000000.0
0.0,0.0,,0.0,,o23000,w24301,the marshal of mesa city,75000.0,180000.0,the marshal of mesa city,,1939.0,1939,75000.0,180000.0
0.0,0.0,,0.0,,o21863,w27045,night call nurses,75000.0,1000000.0,night call nurses,,1972.0,1972,75000.0,1000000.0
0.0,0.0,,0.0,,o4304,w14160,frontier rangers,74000.0,650000.0,frontier rangers,,1959.0,1959,74000.0,650000.0
0.0,0.0,,0.0,,o14373,w31612,reveille with beverly,40000.0,2100000.0,reveille with beverly,,1943.0,1943,40000.0,2100000.0
0.0,0.0,,0.0,,o2951,w14731,the ghost of slumber mountain,3000.0,100000.0,the ghost of slumber mountain,,1918.0,1918,3000.0,100000.0
0.0,0.0,,0.0,,o2059,w11178,duck! the carbine high massacre,3000.0,6034.0,duck! the carbine high massacre,,1999.0,1999,3000.0,6034.0
0.0,0.0,,0.0,,o19652,w10596,doin' their bit,28306.0,24651.0,doin' their bit,,1942.0,1942,28306.0,24651.0
0.0,0.0,,0.0,b15428,o3249,w38933,top secret!,8.5,20500000.0,top secret!,1984.0,1984.0,1984,8.5,20500000.0
0.0,0.0,,0.0,b13013,o2711,w13845,the fp,45000.0,40557.0,the fp,2012.0,2011.0,2011,45000.0,40557.0
0.0,0.0,,0.0,b16232,,w41116,,2.0,11100000.0,we are your friends ,2015.0,,2015,2.0,11100000.0
0.0,0.0,,0.0,b8109,o16643,w24604,medicine for melancholy,15000.0,111551.0,medicine for melancholy,2009.0,2008.0,2008,15000.0,111551.0
0.0,0.0,,0.0,b15205,,w38012,,7.0,11492915.0,thief ,1981.0,,1981,7.0,11492915.0
0.0,0.0,,0.0,b13684,,w21503,,87000.0,3100000.0,the last house on the left (1972 film),1972.0,,1972,87000.0,3100000.0
0.0,0.0,,0.0,b3954,o22010,w11410,eating out,50000.0,155212.0,eating out,2005.0,2004.0,2004,50000.0,155212.0
0.0,0.0,,0.0,b6117,o1105,w18663,i used to be darker,42394.0,22214.0,i used to be darker,2013.0,2013.0,2013,42394.0,22214.0
0.0,0.0,,0.0,b4203,,w11925,,3.7,278623.0,every time we say goodbye ,1986.0,,1986,3.7,278623.0
0.0,0.0,,0.0,b13956,o9825,w24600,the medallion,41.0,34268701.0,the medallion,2003.0,2003.0,yes,41.0,34268701.0
0.0,0.0,,0.0,b14773,o21783,w37140,the sword and the sorcerer,4.0,39103425.0,the sword and the sorcerer,1982.0,1982.0,1982,4.0,39103425.0
0.0,0.0,,0.0,b9652,,w29418,,68000.0,3221152.0,pi ,1998.0,,1998,68000.0,3221152.0
0.0,0.0,,0.0,b16782,,w43131,,20000.0,8466.0,zero day ,2003.0,,2003,20000.0,8466.0
0.0,0.0,,0.0,b5730,,w17256,,15.0,12201255.0,hideaway ,1995.0,,1995,15.0,12201255.0
0.0,0.0,,0.0,b5553,,w16543,,65000.0,2284034.0,hav plenty,1998.0,,1998,65000.0,2284034.0
0.0,0.0,,0.0,b13804,,w22571,,22769.0,692585.0,the living end ,1992.0,,1992,22769.0,692585.0
0.0,0.0,,0.0,b5377,o18709,w16061,guy and madeline on a park bench,60000.0,35556.0,guy and madeline on a park bench,2010.0,2009.0,2009,60000.0,35556.0
0.0,0.0,,0.0,b13108,o20539,w13518,the foot fist way,79000.0,245292.0,the foot fist way,2008.0,2006.0,2006,79000.0,245292.0
0.0,0.0,,0.0,b2544,,w6596,,30000.0,3500000.0,catfish ,2010.0,,2010,30000.0,3500000.0
0.0,0.0,,0.0,b9713,,w29627,,30.0,49.5,"""planes, trains and automobiles""",1987.0,,1987,30.0,49.5
0.0,0.0,,0.0,b8823,o18348,w26847,never been thawed,25000.0,47812.0,never been thawed,2005.0,2005.0,2005,25000.0,47812.0
0.0,0.0,,0.0,b15138,o2748,w42673,the worst movie ever!,1000.0,21010.0,the worst movie ever!,2011.0,2011.0,2011,1000.0,21010.0
0.0,0.0,,0.0,b4017,o7482,w24199,el mariachi,7000.0,2000000.0,el mariachi,1993.0,1992.0,1992,7000.0,2000000.0
0.0,0.0,,0.0,b9991,o8119,w30643,putty hill,80000.0,49918.0,putty hill,2011.0,2010.0,2010,80000.0,49918.0
0.0,0.0,,0.0,b8910,o16655,w27231,nights and weekends,15000.0,5430.0,nights and weekends,2008.0,2008.0,2008,15000.0,5430.0
0.0,0.0,,0.0,b10516,o3490,w32276,room 237,5426.0,296359.0,room 237,2013.0,2012.0,2012,5426.0,296359.0
0.0,0.0,,0.0,b9410,,w28663,,20.0,31678778.0,paint your wagon ,1969.0,,1969,20.0,31678778.0
0.0,0.0,,0.0,b6340,,w19276,,20.0,14.7,inherent vice ,2014.0,,2014,20.0,14.7
0.0,0.0,,0.0,b13544,,w19411,,50000.0,32919.0,the intervention ,2016.0,,2016,50000.0,32919.0
0.0,0.0,,0.0,b1252,o575,w2282,attack of the 50 foot woman,89000.0,480000.0,attack of the 50 foot woman,1958.0,1958.0,1958,89000.0,480000.0
0.0,0.0,,0.0,b14378,o18474,w30518,the puffy chair,15000.0,194523.0,the puffy chair,2006.0,2005.0,2005,15000.0,194523.0
0.0,0.0,,0.0,b15355,o8220,w38641,tiny furniture,65000.0,416498.0,tiny furniture,2010.0,2010.0,2010,65000.0,416498.0
0.0,0.0,,0.0,b16352,o15967,w41493,when harry met sally...,16.0,92800000.0,when harry met sally...,1989.0,1989.0,1989,16.0,92800000.0
0.0,0.0,,0.0,b5804,o3783,w17606,holding trevor,55000.0,16814.0,holding trevor,2008.0,2007.0,2007,55000.0,16814.0
20000.0,2760.0,blood ties,2760.0,b1940,,,,,,,,,,20000.0,2760.0
15000.0,77389.0,breaking upwards,0.0,b2161,,,,,,,,,,15000.0,77389.0
30000.0,9812.0,down terrace,0.0,b3775,,,,,,,,,,30000.0,9812.0
6000.0,48482.0,following,0.0,b4637,,,,,,,,,,6000.0,48482.0
50000.0,3917.0,going under,0.0,b5165,,,,,,,,,,50000.0,3917.0
50000.0,783.0,issues,0.0,b6456,,,,,,,,,,50000.0,783.0
2000.0,10604.0,midget zombie takeover,0.0,b8229,,,,,,,,,,2000.0,10604.0
46000.0,1270904.0,osama,3888902.0,b9314,,,,,,,,,,46000.0,3888902.0
20000.0,706.0,redneck carnage,0.0,b10224,,,,,,,,,,20000.0,706.0
2000.0,400.0,skinless,0.0,b11197,,,,,,,,,,2000.0,400.0
23000.0,1228108.0,slacker,0.0,b11208,,,,,,,,,,23000.0,1228108.0
65000.0,55398.0,that man: peter berlin,0.0,b12204,,,,,,,,,,65000.0,55398.0
40000.0,25572.0,the exploding girl,0.0,b13004,,,,,,,,,,40000.0,25572.0
40000.0,143121.0,the lost skeleton of cadavra,0.0,b13855,,,,,,,,,,40000.0,143121.0
5000.0,18389.0,the reception,0.0,b14426,,,,,,,,,,5000.0,18389.0
10000.0,581.0,the rise and fall of miss thang,0.0,b14476,,,,,,,,,,10000.0,581.0
65000.0,100403.0,the united states of autism,0.0,b14942,,,,,,,,,,65000.0,100403.0
15000.0,51035.0,the unknowns,0.0,b14948,,,,,,,,,,15000.0,51035.0
