key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue
b2025,w4738,,boiler room ,2000,7000000.0,28780255.0,3.111465
b2050,w4815,o5334,boo! a madea halloween,2016,20000000.0,74827344.0,2.7413672
b2053,w4829,o6377,boogie nights,1997,15000000.0,43101594.0,1.8734396
b2057,w4843,o10586,book of shadows: blair witch 2,2000,15000000.0,47737094.0,2.1824729333333335
b2087,w4992,o5078,bottle rocket,1996,7000000.0,560069.0,-0.9199901428571429
b2090,w5006,,bounce ,2000,35000000.0,53425292.0,0.5264369142857143
b2095,w5040,o2039,bowfinger,1999,55000000.0,98625775.0,0.7931959090909091
b2096,w5044,o16211,bowling for columbine,2002,4000000.0,58008423.0,13.50210575
b2112,w5100,,boyhood ,2014,4000000.0,44495281.0,10.12382025
b2115,w5107,,boys don't cry ,1999,2000000.0,11540607.0,4.7703035
b2122,w5133,o13704,boyz n the hood,1991,6500000.0,57504069.0,7.846779846153846
b2131,w5154,o7459,bram stoker's dracula,1992,40000000.0,215862692.0,4.3965673
b2148,w5234,,breakfast of champions ,1999,12000000.0,178278.0,-0.9851435
b2181,w5322,o18614,bride wars,2009,30000000.0,114663461.0,2.8221153666666665
b2182,w5302,,bride and prejudice,2004,7000000.0,24716440.0,2.53092
b2183,w5312,o13502,bride of chucky,1998,25000000.0,50671850.0,1.026874
b2189,w5344,,bridge of spies ,2015,40000000.0,165478348.0,3.1369587
b2193,w5356,,bridget jones: the edge of reason ,2004,40000000.0,262520724.0,5.5630181
b2208,w5390,,bring it on ,2000,11000000.0,90449929.0,7.222720818181818
b2210,w5400,,bringing down the house ,2003,33000000.0,164729679.0,3.9918084545454544
b2211,w5402,o2041,bringing out the dead,1999,55000000.0,16797191.0,-0.6945965272727272
b2219,w5460,o18195,brokeback mountain,2005,14000000.0,178062759.0,11.7187685
b2220,w5462,o2042,brokedown palace,1999,25000000.0,10115013.0,-0.59539948
b2225,w5474,o1016,broken city,2013,35000000.0,19701164.0,-0.4371096
b2239,w5529,o3682,brooklyn rules,2007,8000000.0,458232.0,-0.942721
b2240,w5531,o18617,brooklyn's finest,2009,17000000.0,36440201.0,1.1435412352941177
b2263,w5580,o9659,bruce almighty,2003,81000000.0,484592874.0,4.982628074074074
b2269,w5596,,bubble boy ,2001,13000000.0,5007898.0,-0.6147770769230769
b2273,w5629,o2476,bucky larson: born to be a star,2011,10000000.0,2529395.0,-0.7470605
b2301,w5745,o9660,bulletproof monk,2003,52000000.0,37713879.0,-0.27473309615384617
b2319,w5809,o16486,burn after reading,2008,37000000.0,163720069.0,3.4248667297297297
b2324,w5837,,burnt ,2015,20000000.0,36606743.0,0.83033715
b2358,w7148,,chips ,2017,25000000.0,24890387.0,-0.00438452
b2373,w6004,o16490,cadillac records,2008,12000000.0,8880045.0,-0.25999625
b2410,w6174,,camp x-ray ,2014,1000000.0,13302.0,-0.986698
b2421,w6203,o20638,canadian bacon,1995,11000000.0,163971.0,-0.9850935454545454
b2435,w6262,o18626,capitalism: a love story,2009,20000000.0,17436509.0,-0.12817455
b2437,w6265,,capote ,2005,7000000.0,49233161.0,6.033308714285714
b2439,w6277,o5343,captain america: civil war,2016,250000000.0,1153304495.0,3.61321798
b2440,w6278,o2478,captain america: the first avenger,2011,140000000.0,370569774.0,1.646926957142857
b2441,w6279,o9928,captain america: the winter soldier,2014,170000000.0,714264267.0,3.201554511764706
b2443,w6287,,captain corelli's mandolin ,2001,57000000.0,62112895.0,0.08969991228070176
b2448,w6314,,captain phillips ,2013,55000000.0,218791811.0,2.9780329272727273
b2474,w6389,o19048,carlito's way,1993,30000000.0,63848322.0,1.1282774
b2491,w6438,,carrie (2013 film),2013,30000000.0,84790678.0,1.8263559333333332
b2495,w6444,,cars ,2006,120000000.0,462216280.0,2.8518023333333336
b2496,w6445,o2480,cars 2,2011,200000000.0,562110557.0,1.810552785
b2503,w6462,,casablanca ,1942,950000.0,3700000.0,2.8947368421052633
b2509,w6471,o18627,case 39,2009,26000000.0,28189979.0,0.08422996153846155
b2522,w6522,o10595,cast away,2000,90000000.0,429632142.0,3.773690466666667
b2533,w6584,o16214,catch me if you can,2002,52000000.0,352114312.0,5.771429076923077
b2535,w6587,o21987,catch that kid,6-Feb,12000000.0,16930762.0,0.4108968333333333
b2546,w6602,o19980,cats & dogs,2001,60000000.0,200687492.0,2.3447915333333333
b2547,w6604,o7947,cats & dogs: the revenge of kitty galore,2010,85000000.0,112483764.0,0.3233384
b2551,w6622,,catwoman ,2004,100000000.0,82102379.0,-0.17897621
b2567,w6681,,cellular ,2004,25000000.0,56422687.0,1.25690748
b2589,w6714,,chain letter ,2010,3000000.0,585362.0,-0.8048793333333333
b2605,w6789,,changeling ,2008,55000000.0,113020256.0,1.0549137454545454
b2606,w6792,o16215,changing lanes,2002,45000000.0,94935764.0,1.1096836444444445
b2611,w6807,,chappie ,2015,49000000.0,102069268.0,1.0830462857142857
b2618,w6832,o3689,charlie bartlett,1-May,12000000.0,5254986.0,-0.5620845
b2629,w6864,o3690,charlie wilson's war,2007,75000000.0,119000410.0,0.5866721333333333
b2630,w6831,,charlie and the chocolate factory ,2005,150000000.0,474968763.0,2.16645842
b2631,w6866,,charlie's angels ,2000,93000000.0,264105545.0,1.839844569892473
b2632,w6867,o9663,charlie's angels: full throttle,2003,120000000.0,259175788.0,1.1597982333333334
b2644,w6895,o21988,chasing liberty,2004,23000000.0,12313323.0,-0.4646381304347826
b2646,w6897,o3334,chasing mavericks,2012,20000000.0,6003386.0,-0.6998307
b2652,w6924,,cheaper by the dozen (2003 film),2003,40000000.0,190212113.0,3.755302825
b2682,w7029,,chicken little (2005 film),2005,150000000.0,314432837.0,1.0962189133333333
b2683,w7033,o10599,chicken run,2000,45000000.0,224834564.0,3.9963236444444443
b2700,w7077,o20265,children of men,2006,76000000.0,69959751.0,-0.0794769605263158
b2708,w7099,,chill factor ,1999,70000000.0,11263966.0,-0.8390862
b2753,w7268,o21990,christmas with the kranks,2004,60000000.0,96572480.0,0.6095413333333334
b2754,w7273,o7464,christopher columbus: the discovery,21-Aug-92,40000000.0,8251071.0,-0.793723225
b2757,w7279,,chronicle ,2012,12000000.0,126636097.0,9.553008083333333
b2777,w7327,o18205,cinderella man,2005,88000000.0,108539911.0,0.23340807954545453
b2790,w7374,o18632,cirque du freak: the vampire's assistant,2009,40000000.0,39232113.0,-0.019197175
b2807,w7434,o13717,city slickers,1991,27000000.0,179033791.0,5.630881148148148
b2811,w7416,o16495,city of ember,2008,55000000.0,17929684.0,-0.6740057454545455
b2831,w7474,,clash of the titans (2010 film),2010,125000000.0,493214993.0,2.945719944
b2842,w7514,,clear and present danger ,1994,62000000.0,215887717.0,2.482059951612903
b2844,w7523,,cleopatra (1963 film),1963,44000000.0,57777778.0,0.31313131818181816
b2846,w7528,o2277,clerks,19-Oct,27000.0,3151130.0,115.70851851851852
b2847,w7529,o20272,clerks ii,2006,5000000.0,26983776.0,4.3967552
b2850,w7541,,cliffhanger ,1993,70000000.0,255000211.0,2.642860157142857
b2859,w7568,o16221,clockstoppers,2002,26000000.0,38793283.0,0.49204934615384616
b2863,w7573,o14525,close encounters of the third kind,1977,20000000.0,303788635.0,14.18943175
b2879,w7602,,cloudy with a chance of meatballs ,2009,100000000.0,243006126.0,1.43006126
b2880,w7603,o1027,cloudy with a chance of meatballs 2,2013,78000000.0,274325949.0,2.5169993461538462
b2889,w7626,o18207,coach carter,2005,30000000.0,76669806.0,1.5556602
b2911,w7672,o3699,code name: the cleaner,2007,20000000.0,10337477.0,-0.48312615
b2934,w7732,,collateral ,2004,65000000.0,217764291.0,2.3502198615384615
b2935,w7733,o5345,collateral beauty,2016,36000000.0,88216021.0,1.4504450277777778
b2936,w7734,,collateral damage ,2002,85000000.0,78382433.0,-0.0778537294117647
b2947,w7775,o2278,color of night,1994,40000000.0,19726050.0,-0.50684875
b2978,w7896,,commandments ,1997,6000000.0,548561.0,-0.9085731666666667
b2982,w7906,,committed ,2000,3000000.0,40361.0,-0.9865463333333333
b2996,w7961,,conan the barbarian (2011 film),2011,90000000.0,48795021.0,-0.4578331
b3001,w7974,,concussion (2015 film),2015,35000000.0,48623572.0,0.3892449142857143
b3005,w7997,o16224,confessions of a dangerous mind,2002,30000000.0,33013805.0,0.10046016666666667
b3015,w8047,o21996,connie and carla,2004,27000000.0,11341016.0,-0.5799623703703704
b3020,w8084,,constantine ,2005,100000000.0,230884728.0,1.30884728
b3026,w8089,,contagion ,2011,60000000.0,135458097.0,1.25763495
b3049,w8139,o2047,cookie's fortune,1999,10000000.0,10920544.0,0.0920544
b3052,w8155,o19051,cool runnings,1993,14000000.0,154856263.0,10.061161642857142
b3054,w8146,o13721,cool as ice,1991,6000000.0,1193062.0,-0.8011563333333334
b3058,w8172,o6396,cop land,1997,15000000.0,44862187.0,1.9908124666666667
b3065,w8188,,coraline ,2009,60000000.0,124596398.0,1.0766066333333333
b3083,w8311,o7961,country strong,2010,15000000.0,20529194.0,0.36861293333333334
b3085,w8322,o18638,couples retreat,2009,70000000.0,171844840.0,1.4549262857142857
b3088,w8330,,courageous ,2011,2000000.0,34522221.0,16.2611105
b3101,w8406,,coyote ugly ,2000,45000000.0,113916474.0,1.5314772
b3105,w8423,o9672,cradle 2 the grave,2003,25000000.0,56489558.0,1.25958232
b3106,w8429,o2048,cradle will rock,1999,36000000.0,2903404.0,-0.9193498888888889
b3107,w8434,,crank ,2006,12000000.0,42931041.0,2.57758675
b3112,w8475,o18641,crazy heart,2009,7000000.0,47405566.0,5.7722237142857145
b3123,w8498,o2497,"""crazy, stupid, love""",2011,50000000.0,142851197.0,1.85702394
b3128,w8519,,creed ,2015,35000000.0,173567581.0,3.959073742857143
b3141,w8593,o8852,crimson peak,2015,55000000.0,74679822.0,0.35781494545454545
b3146,w8615,,critical care ,1997,12000000.0,221193.0,-0.98156725
