key_bom,genre_cluster,bom_genre
b1909,,Sports Drama
b1911,,Romantic Comedy
b1913,2.0,Horror Thriller
b1922,,Drama / Thriller
b1934,2.0,Adventure
b1942,,Thriller
b1954,,Action Horror
b1968,,Crime Drama
b1979,2.0,Sports Drama
b1991,,Action Comedy
b2003,,Comedy
b2009,2.0,Sports Drama
b2020,,Drama / Thriller
b2025,,Drama
b2034,,Animation
b2042,,Horror
b2050,6.0,Horror Comedy
b2051,,Horror
b2053,2.0,Drama
b2057,6.0,Horror
b2060,,Romantic Comedy
b2090,,Romance
b2095,5.0,Comedy
b2120,,Romantic Comedy
b2131,6.0,Period Horror
b2138,,Animation
b2139,2.0,Historical Epic
b2154,,Romantic Comedy
b2179,,Action
b2181,5.0,Comedy
b2182,,Romance
b2183,6.0,Horror Comedy
b2188,,Comedy
b2189,,Thriller
b2191,,Romantic Comedy
b2193,,Romantic Comedy
b2203,,Period Drama
b2206,,Period Drama
b2208,,Sports Comedy
b2210,,Comedy
b2225,2.0,Crime Thriller
b2240,2.0,Action / Crime
b2251,,Foreign / Action
b2253,,Drama
b2260,,Romantic Comedy
b2263,2.0,Fantasy Comedy
b2268,,Drama
b2284,,Unknown
b2301,5.0,Action
b2315,,Musical
b2319,2.0,Comedy
b2324,,Comedy
b2347,,Drama
b2358,,Action Comedy
b2373,2.0,Music Drama
b2386,,Comedy
b2410,,Drama
b2435,4.0,Documentary
b2437,,Drama
b2439,0.0,Action / Adventure
b2440,0.0,Action / Adventure
b2441,0.0,Action / Adventure
b2443,,War Romance
b2448,,Drama
b2474,2.0,Crime Drama
b2475,,Action Thriller
b2491,,Horror
b2495,,Animation
b2496,5.0,Animation
b2509,6.0,Horror Thriller
b2514,,Thriller
b2516,,Action
b2521,,Unknown
b2522,2.0,Drama
b2533,2.0,Comedy / Drama
b2535,5.0,Family Adventure
b2537,,Romantic Comedy
b2546,5.0,Family Adventure
b2547,5.0,Family Comedy
b2551,,Action / Adventure
b2567,,Thriller
b2573,,Music Drama
b2574,,Comedy
b2576,,Action / Adventure
b2589,,Horror Thriller
b2605,,Thriller
b2606,2.0,Thriller
b2611,,Sci-Fi Action
b2618,2.0,Comedy
b2628,,Drama
b2629,2.0,War Drama
b2630,,Family Adventure
b2631,,Action Comedy
b2632,0.0,Action Comedy
b2638,,Family
b2644,5.0,Romantic Comedy
b2646,2.0,Sports Drama
b2652,,Family Comedy
b2669,,Romance
b2678,,Musical
b2682,,Animation
b2683,5.0,Animation
b2700,2.0,Sci-Fi Thriller
b2708,,Action Comedy
b2723,,Drama
b2724,,Romance
b2753,5.0,Family Comedy
b2757,,Sci-Fi Action
b2775,,Fantasy
b2777,2.0,Sports Drama
b2786,,Drama
b2790,0.0,Fantasy
b2804,,Comedy
b2807,5.0,Comedy
b2809,,Crime Drama
b2811,0.0,Family Adventure
b2818,,Foreign
b2819,,Foreign
b2831,,Fantasy
b2842,,Action Thriller
b2847,5.0,Comedy
b2848,,Fantasy Comedy
b2850,,Action Thriller
b2859,0.0,Sci-Fi Adventure
b2872,,Romance
b2879,,Animation
b2880,5.0,Animation
b2881,,Action Horror
b2889,2.0,Sports Drama
b2904,,Foreign
b2911,5.0,Action Comedy
b2925,,War Romance
b2934,,Crime
b2935,2.0,Drama
b2936,,Action
b2937,,Comedy
b2942,,Action
b2993,,Action
b2996,,Action
b3001,,Drama
b3005,5.0,Comedy Thriller
b3015,5.0,Comedy
b3020,,Horror
b3025,,Sci-Fi
b3026,,Action Thriller
b3032,,Thriller
b3041,,Drama
b3043,,Drama
b3059,,Comedy
b3065,,Animation
b3083,2.0,Music Drama
b3085,5.0,Comedy
b3097,,Sci-Fi Action
b3101,,Music Drama
b3105,2.0,Action
b3106,2.0,Period Drama
b3107,,Action / Crime
b3112,2.0,Drama
b3123,,Comedy
b3128,,Drama
b3141,6.0,Horror
b3169,,Drama
b3175,2.0,Romantic Thriller
b3180,,Romantic Comedy
b3200,,Animation
b3204,,Horror
b3214,,Comedy
b3234,5.0,Comedy
b3254,5.0,Comedy
b3283,,Comedy / Drama
b3289,0.0,Action Drama
b3295,,Action / Adventure
b3298,,Action / Crime
b3311,,Horror Comedy
b3312,,Thriller
b3320,,Horror
b3321,,Horror
b3329,5.0,Romantic Comedy
b3330,5.0,Comedy
b3335,4.0,Comedy
b3342,,Horror
b3343,0.0,Sci-Fi Action
b3349,6.0,Horror
b3365,2.0,Music Drama
b3385,6.0,Horror
b3407,,Romance
b3413,6.0,Horror Comedy
b3417,,Action Thriller
b3428,,Comedy / Drama
b3429,,Comedy
b3434,,Drama / Thriller
b3438,2.0,Comedy Thriller
b3457,,Horror
b3465,,Action Drama
b3476,,War
b3480,,Romantic Thriller
b3493,,Horror
b3496,,Comedy
b3511,,Thriller
b3531,5.0,Animation
b3549,5.0,Comedy
b3550,5.0,Comedy
b3560,,Horror
b3586,,Comedy
b3587,,Comedy
b3588,,Comedy
b3592,,Period Action
b3593,5.0,Comedy
b3595,2.0,Romantic Comedy
b3596,,Action
b3597,0.0,Action Thriller
b3598,,Action Thriller
b3599,0.0,Action Thriller
b3609,,Animation
b3621,5.0,Comedy
b3622,,Animation
b3631,2.0,Romance
b3643,5.0,Comedy
b3645,,Drama / Thriller
b3652,,Fantasy Comedy
b3660,,Sci-Fi
b3664,,Drama / Thriller
b3670,,Action / Adventure
b3676,,Comedy / Drama
b3678,1.0,Western
b3690,,Action / Adventure
b3694,5.0,Sports Comedy
b3702,,Fantasy Comedy
b3705,,Period Drama
b3710,2.0,Family
b3711,2.0,Family
b3715,6.0,Thriller
b3722,2.0,Comedy
b3723,,Romantic Comedy
b3726,,Horror
b3734,2.0,Thriller
b3744,2.0,Fantasy Drama
b3748,,Sci-Fi Horror
b3752,,Comedy / Drama
b3764,,Thriller
b3769,,Drama
b3784,,Romantic Comedy
b3785,2.0,Romantic Comedy
b3798,,Family Comedy
b3805,,Animation
b3807,,Animation
b3810,2.0,Romantic Comedy
b3813,6.0,Horror
b3814,2.0,Action Horror
b3818,6.0,Horror
b3826,,Action Fantasy
b3829,,Romantic Thriller
b3836,,Thriller
b3841,,Sci-Fi Horror
b3843,,Family
b3852,,Action / Adventure
b3859,,Action Drama
b3861,,Romantic Comedy
b3862,,Sports Drama
b3873,5.0,Comedy
b3877,,Music Drama
b3890,,Comedy
b3892,2.0,Comedy
b3895,,Comedy
b3898,,Family Adventure
b3900,5.0,Comedy
