bom_budget,bom_domestic_gross,bom_title,bom_worldwide_revenue,key_bom,key_omdb,key_wiki,omdb_title,wiki_budget,wiki_gross,wiki_title,year_bom_format,year_omdb_format,year_wiki_format,budget,gross
0.0,0.0,,0.0,,,w13443,,20000.0,37000.0,flywheel ,,,,20000.0,37000.0
0.0,0.0,,0.0,,,w37498,,1200000.0,68716.0,ted bundy ,,,,1200000.0,68716.0
0.0,0.0,,0.0,,,w28948,,15000000.0,3669.0,passion play ,,,,15000000.0,3669.0
0.0,0.0,,0.0,,,w6929,,17311.0,96389.0,the cheat (1915 film),,,,17311.0,96389.0
0.0,0.0,,0.0,,,w21629,,7000000.0,97522.0,the last winter (2006 film),,,,7000000.0,97522.0
0.0,0.0,,0.0,,,w8650,,26000.0,98000.0,cross fire ,,,,26000.0,98000.0
0.0,0.0,,0.0,,,w20873,,1000000.0,61821.0,king lear (1987 film),,,,1000000.0,61821.0
0.0,0.0,,0.0,,,w41977,,30.0,6.7,wild card (2015 film),,,,30.0,6.7
0.0,0.0,,0.0,,,w40909,,3000000.0,44722.0,the war at home ,,,,3000000.0,44722.0
0.0,0.0,,0.0,,,w2318,,3400000.0,12636.0,august (2008 film),,,,3400000.0,12636.0
0.0,0.0,,0.0,,,w31035,,26.0,29.7,the raven (2012 film),,,,26.0,29.7
0.0,0.0,,0.0,,,w36570,,1300000.0,28378.0,struck by lightning (2012 film),,,,1300000.0,28378.0
0.0,0.0,,0.0,,,w23023,,10000000.0,28.6,love & mercy ,,,,10000000.0,28.6
0.0,0.0,,0.0,,,w24122,,1500000.0,69958.0,manic ,,,,1500000.0,69958.0
0.0,0.0,,0.0,,,w16494,,500000.0,40758.0,hate crime (2005 film),,,,500000.0,40758.0
0.0,0.0,,0.0,,,w6507,,150.0,599.0,casino royale (2006 film),,,,150.0,599.0
0.0,0.0,,0.0,,,w17712,,750000.0,95858.0,the holy mountain (1973 film),,,,750000.0,95858.0
0.0,0.0,,0.0,,,w6340,,12153.54,56074.88,the captive (1915 film),,,,12153.54,56074.88
0.0,0.0,,0.0,,,w16623,,750000.0,16111.0,head ,,,,750000.0,16111.0
0.0,0.0,,0.0,,,w10049,,2150000.0,190.0,detention (2010 film),,,,2150000.0,190.0
0.0,0.0,,0.0,,,w10336,,4000000.0,55125.0,dirty girl (2010 film),,,,4000000.0,55125.0
0.0,0.0,,0.0,,,w15829,,25.0,77.3,the grey ,,,,25.0,77.3
0.0,0.0,,0.0,,,w25476,,21000000.0,17650.0,molly (1999 film),,,,21000000.0,17650.0
0.0,0.0,,0.0,,,w41267,,3500000.0,87397.0,welcome to the jungle (2013 film),,,,3500000.0,87397.0
