omdb_movie_id,genres,cluster
253,Crime|Drama,2
254,Romance|Crime,0
255,Comedy|Fantasy|Adventure,5
256,Drama,2
257,Drama|Comedy,2
258,Western,1
259,Western|Comedy,1
260,Western,1
261,Mystery|Drama|Horror,6
262,Comedy,5
263,Romance|Comedy,5
264,Crime|Mystery|Action,0
265,Action|Adventure,0
266,Drama,2
267,Romance|Crime|Drama,2
268,Drama|Romance|Comedy,2
269,Drama,2
270,Mystery|Crime|Drama,2
271,Drama,2
272,Comedy,5
273,Comedy,5
274,War|Drama|Romance,2
275,Comedy|Short,3
276,Drama|Comedy|Crime,2
277,Romance|Drama,2
278,Comedy|Musical,5
279,Romance|Drama|Musical,2
280,Mystery,0
281,Comedy|Drama,2
282,Comedy|Short,3
283,Family|Short|Animation,3
284,Drama,2
285,Drama,2
286,Drama,2
287,Adventure|Drama,2
288,Short|Comedy|Family,3
289,Short|Comedy|Animation,3
290,Drama|Romance,2
291,Drama|Comedy,2
292,Drama,2
293,Animation|Short,3
294,Crime|Mystery|Romance,0
295,Romance|Comedy|Musical,5
296,Comedy,5
297,Thriller|Drama|Romance,2
298,Musical,0
299,Musical|Comedy,5
300,Drama,2
301,Romance|Comedy|Music,5
302,Comedy|Romance,5
303,Drama|Romance,2
304,Western,1
305,Short,3
306,War|Documentary|History,4
307,Comedy|Music,5
308,Comedy|Western,1
309,Comedy|Musical,5
310,Comedy|Music,5
311,Western,1
312,Mystery,0
313,Family|Short|Animation,3
314,Comedy,5
315,Drama|Comedy,2
316,Musical|Short,3
317,Music|Action|Adventure,0
318,Western,1
319,Action|Comedy|Crime,5
320,Comedy,5
321,Western,1
322,Comedy,5
323,Music|Family,0
324,Animation|Short|Family,3
325,Western|Animation|Family,1
326,Comedy|Animation|Short,3
327,Short|Family|Animation,3
328,Mystery|Romance|Adventure,0
329,Western,1
330,Comedy|Crime|Action,5
331,Western|Musical,1
332,Comedy|Short|Animation,3
333,Comedy,5
334,Comedy,5
335,Crime|Mystery|Comedy,5
336,Mystery|Comedy|Crime,5
337,Western,1
338,Comedy|Music,5
339,Drama|Film-Noir|Crime,2
340,Adventure|Drama,2
341,Western,1
342,Short|Family|Animation,3
343,War|Western|Music,1
344,Western|Comedy|Music,1
345,Comedy|Short,3
346,Romance|Comedy|Horror,5
347,Mystery|Drama,2
348,Short|Family|Comedy,3
349,Film-Noir|Drama,2
350,Drama|Horror|Crime,2
351,Crime|Drama,2
352,Mystery|Romance|Comedy,5
353,Comedy|Musical,5
354,Family|Comedy|Animation,3
355,Short|Family|Animation,3
356,War|Drama,2
357,Romance|Thriller|Film-Noir,6
358,Drama,2
359,Western,1
360,Drama|Musical|Comedy,2
361,Music|Romance|War,0
362,Western,1
363,Adventure|Western|Action,0
364,Crime|Drama,2
365,Western,1
366,Music|Short|Comedy,3
367,Horror|Music|Comedy,6
368,Comedy|Fantasy|Horror,6
369,Musical|Comedy|Western,1
370,Drama|Music|Comedy,2
371,Drama|Film-Noir,2
372,Romance|Western|Short,1
373,Western,1
374,Adventure,0
375,Comedy|War,5
376,Western,1
377,Short|Family|Animation,3
378,Animation|Short|Family,3
379,Comedy|Musical,5
380,Adventure|Crime|Action,0
381,Comedy,5
382,Short|Animation,3
383,Comedy,5
384,Comedy,5
385,Comedy,5
386,Musical|Romance|Comedy,5
387,Western,1
388,Drama|Romance|Adventure,2
389,Music|Romance|Comedy,5
390,Comedy|Animation|Short,3
391,Music|Short|Documentary,4
392,Drama|Crime,2
393,Romance|War|Drama,2
394,Short|Drama|Music,2
395,Romance|Comedy|Musical,5
396,Musical|Comedy,5
397,Comedy|War,5
398,Musical,0
399,Fantasy|Comedy,5
400,Short|Documentary,4
401,Fantasy|Horror|Drama,6
402,Musical|Romance|Comedy,5
403,War|Adventure|Drama,2
404,Drama,2
405,Drama|Film-Noir|Crime,2
406,War|Musical|Romance,0
407,Romance|Sport|Music,0
408,Western,1
409,Drama|Action|Comedy,2
410,Comedy|Musical|Action,5
411,Animation|Short|Family,3
412,Comedy,5
413,Short|Western|Musical,1
414,Adventure|Comedy|Romance,5
415,Comedy|Romance,5
416,Comedy,5
417,Romance|War|Drama,2
418,Adventure|Crime|Action,0
419,Comedy|War,5
420,Western,1
421,Animation|Short|Family,3
422,Drama|Family|Comedy,2
423,Romance|Comedy|Musical,5
424,Drama|Musical,2
425,Comedy,5
426,Drama|Film-Noir|Crime,2
427,Western,1
428,Animation|Short|Family,3
429,Romance|Drama,2
430,Comedy|War,5
431,Romance|Drama,2
432,Musical|Comedy|Mystery,5
433,Drama|Film-Noir|Crime,2
434,Music|Comedy|Drama,2
435,Musical|Romance,0
436,Music|Comedy|Drama,2
437,Family,0
438,Action|Adventure|Western,0
439,Adventure,0
440,Short|Comedy,3
441,War|Drama,2
442,Western,1
443,Comedy|Horror|Mystery,6
