index,key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue,bom_release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,release_year,bom_runtime,runtime,bom_awards,bom_awards_scr,holiday_season,bom_rating,mpaa_rating,genre_cluster,bom_genre,bom_actor_clean,bom_director_clean,bom_writer_clean,bom_distributor_clean,bom_composer_clean,bom_cinematographer_clean,bom_producer_clean,revenue_norm,bom_awards_scr_norm,actor_score,director_score,writer_score,distributor_score,composer_score,cinematographer_score,producer_score
0,b10,(500) days of summer,7500000.0,60722734.0,7.096364533333333,2009-07-17 00:00:00,07,3.0,198,28,2009,1 hrs. 35 min.,95.0,,0.0,0.0,PG-13,3.0,2.0,Romance,"['Zooey Deschanel', 'Geoffrey Arend', 'Chloe Moretz', 'Clark Gregg', 'Minka Kelly']",['Marc Webb'],"['Scott Neustadter', 'Michael H. Weber\r']",['Fox Searchlight'],"['Mychael Danna', 'Rob Simonsen']",[''],"['Mason Novick', 'Mark S. Waters']",0.7368445726182564,0.0,2.0117837709768267,0.5183367772486072,0.9893261366395127,0.31407423286906505,0.6180258196075998,0.0,1.063532871751113
1,b24,10 things i hate about you,30000000.0,53478166.0,0.7826055333333334,1999-03-31 00:00:00,03,1.0,90,13,1999,1 hrs. 37 min.,97.0,,0.0,0.0,PG-13,3.0,5.0,Romantic Comedy,"['Julia Stiles', 'Heath Ledger']",[''],"['Karen McCullah Lutz', 'Kirsten Smith\r']",['Buena Vista'],[''],[''],"['Jeffrey Chernov', 'Andrew Lazar']",0.16213031018249024,0.0,0.41322977692787805,0.0,0.6558036619941575,0.279920374139993,0.0,0.0,0.43867963396216747
2,b27,"""10,000 b.c.""",105000000.0,269784201.0,1.5693733428571428,2008-03-07 00:00:00,03,1.0,67,9,2008,1 hrs. 49 min.,109.0,,0.0,0.0,PG-13,3.0,0.0,Period Adventure,"['Steven Strait', 'Camilla Belle']",['Roland Emmerich'],"['Roland Emmerich', 'Harald Kloser\r']",['Warner Bros.'],"['Harald Kloser', 'Thomas Wander']",[''],"['Mark Gordon', 'Harald Kloser', 'Scott Mednick', 'Thomas Tull']",0.23374639203779696,0.0,0.44125762635926735,0.31124944707444074,0.4674927840755939,0.22977670967319025,0.4056485624006888,0.0,0.9571686854941431
3,b38,102 dalmatians,85000000.0,183611771.0,1.1601384823529413,2000-11-22 00:00:00,11,4.0,327,47,2000,1 hrs. 44 min.,104.0,Nominated for One Oscar.,1.0,1.0,G,1.0,3.0,Family Comedy,"['Glenn Close', 'Gerard Depardieu', 'Ioan Gruffudd']",[''],['\r'],['Buena Vista'],[''],[''],[''],0.19649550694419804,0.014492753623188406,1.721154066988414,0.0,0.20518853061795558,0.279920374139993,0.0,0.0,0.0
4,b39,10th &amp; wolf,8000000.0,143451.0,-0.982068625,2006-08-18 00:00:00,08,3.0,230,33,2006,1 hrs. 50 min.,110.0,,0.0,0.0,R,4.0,2.0,Crime Drama,"['James Marsden', 'Giovanni Ribisi', 'Brad Renfro', 'Piper Perabo', 'Dennis Hopper', 'Lesley Ann Warren', 'Val Kilmer']",[''],['\r'],['ThinkFilm'],['Aaron Zigman'],[''],[''],0.0014996292607131895,0.0,1.0083584972608082,0.0,0.20518853061795558,0.021499070992577772,0.29101216092073595,0.0,0.0
5,b48,12 years a slave,20000000.0,187733202.0,8.3866601,2013-10-18 00:00:00,10,4.0,291,41,2013,2 hrs. 13 min.,133.0,"""Nominated for Nine Oscars, Including Three Wins.""",24.0,1.0,R,4.0,2.0,Drama,"['Chiwetel Ejiofor', 'Michael Fassbender', 'Brad Pitt', 'Benedict Cumberbatch', 'Paul Dano', 'Sarah Paulson', 'Alfre Woodard', 'Paul Giamatti', 'Lupita Nyongo', 'Michael K. Williams']",[''],['John Ridley\r'],['Fox Searchlight'],['Hans Zimmer'],[''],"['Dede Gardner', 'Jeremy Kleiner', 'Arnon Milchan', 'Brad Pitt', 'John Ridley']",0.8542946154407608,0.34782608695652173,3.761879282350993,0.0,0.3395644153160813,0.31407423286906505,0.303110635347118,0.0,2.0709912753337942
6,b50,127 hours,18000000.0,60738797.0,2.374377611111111,2010-11-05 00:00:00,11,4.0,309,44,2010,1 hrs. 33 min.,93.0,Nominated for Six Oscars.,6.0,1.0,R,4.0,1.0,Drama,"['James Franco', 'Lizzy Caplan', 'Kate Mara', 'Amber Tamblyn', 'Treat Williams', 'Clemence Poesy']",['Danny Boyle'],"['Simon Beaufoy', 'Danny Boyle\r']",['Fox Searchlight'],['A.R. Rahman'],[''],['Danny Boyle'],0.30702246011185913,0.08695652173913043,2.070448173563041,0.32094779033881876,0.6140449202237183,0.31407423286906505,0.22225442295087036,0.0,0.30702246011185913
7,b54,13 going on 30,37000000.0,96455697.0,1.6069107297297298,2004-04-23 00:00:00,04,2.0,114,16,2004,1 hrs. 37 min.,97.0,,0.0,0.0,PG-13,3.0,5.0,Fantasy Comedy,"['Andy Serkis', 'Jennifer Garner', 'Mark Ruffalo']",['Gary Winick'],['\r'],['Sony (Revolution)'],['Theodore Shapiro'],['Don Burgess'],['Todd Garner'],0.23716325853685793,0.0,0.936261017823312,0.24501917539898593,0.20518853061795558,0.19556937055785203,0.28591096999181204,0.30562270100265276,0.25118383451746307
8,b55,13 hours: the secret soldiers of benghazi,50000000.0,69411370.0,0.3882274,2016-01-15 00:00:00,01,1.0,15,2,2016,2 hrs. 24 min.,144.0,Nominated for One Oscar.,1.0,1.0,R,4.0,2.0,Drama,"['James Badge Dale', 'John Krasinski', 'Max Martini', 'Pablo Schreiber', 'Toby Stephens']",['Michael Bay'],['Chuck Hogan\r'],['Paramount'],[''],[''],[''],0.12623176891421234,0.014492753623188406,1.0613867746838255,0.3571861183787101,0.12623176891421234,1.2542144842753942,0.0,0.0,0.0
9,b62,1408,25000000.0,131998242.0,4.27992968,2007-06-22 00:00:00,06,2.0,173,24,2007,1 hrs. 34 min.,94.0,,0.0,0.0,PG-13,3.0,6.0,Horror,"['John Cusack', 'Samuel L. Jackson', 'Mary McCormack', 'Tony Shalhoub']",['Mikael Hafstrom'],"['Matt Greenberg', 'Scott Alexander', 'Larry Karaszewski\r']",['MGM (Weinstein)'],['Gabriel Yared'],['Benoit Delhomme'],['Lorenzo di Bonaventura'],0.48047664989078903,0.0,1.384045655141364,0.3181082995125059,0.8773074838027495,0.29721366591508885,0.2970447181725021,0.2726647512363576,0.23845852555354574
